Ship_Name,Port_Name,ETA_Planned,Optimized_Priority,Queue_Time,Actual_Arrival,Actual_Berth,Actual_Departure,Delay_Hours,Waiting_Time_Hours
KM SINABUNG,SURABAYA,2025-06-22 20:00:00,0.4926789360325874,2025-06-22 08:10:32.539926785,2025-06-22 20:00:00,2025-06-22 20:00:00,2025-06-23 14:00:00,0.0,0.0
KM KELIMUTU,TANJUNG PRIOK,2025-06-23 09:00:00,0.452771027145728,2025-06-22 22:08:00.583254611,2025-06-23 09:00:00,2025-06-23 09:00:00,2025-06-24 19:00:00,0.0,0.0
KM SINABUNG,MAKASSAR,2025-06-24 21:00:00,0.5604701400281487,2025-06-24 07:32:55.379901567,2025-06-24 21:00:00,2025-06-24 21:00:00,2025-06-25 00:00:00,0.0,0.0
KM LAMBELU,MAKASSAR,2025-06-25 03:00:00,0.775026334551046,2025-06-24 08:23:57.724694790,2025-06-25 03:00:00,2025-06-25 03:00:00,2025-06-25 11:00:00,0.0,0.0
KM NGGAPULU,TANJUNG PRIOK,2025-06-25 05:00:00,0.4209776599687538,2025-06-24 18:53:47.530178700,2025-06-25 05:00:00,2025-06-25 05:00:00,2025-06-26 21:00:00,0.0,0.0
KM SINABUNG,BAU-BAU,2025-06-25 15:00:00,0.7555323086594874,2025-06-24 20:52:02.008531820,2025-06-25 15:00:00,2025-06-25 15:00:00,2025-06-25 18:00:00,0.0,0.0
KM TILONGKABILA,BENOA,2025-06-25 08:00:00,0.4589322852220382,2025-06-24 20:59:08.250556816,2025-06-25 08:00:00,2025-06-25 08:00:00,2025-06-26 09:00:00,0.0,0.0
KM KELIMUTU,TANJUNG PANDAN,2025-06-25 13:00:00,0.6380782666739823,2025-06-24 21:41:10.037759367,2025-06-25 13:00:00,2025-06-25 13:00:00,2025-06-25 15:00:00,0.0,0.0
KM LAMBELU,PARE-PARE,2025-06-25 16:00:00,0.3389601362501285,2025-06-25 07:51:53.844227990,2025-06-25 16:00:00,2025-06-25 16:00:00,2025-06-25 19:00:00,0.0,0.0
KM AWU,KUMAI,2025-06-26 03:00:00,0.4251260771102084,2025-06-25 16:47:49.106937678,2025-06-26 03:00:00,2025-06-26 03:00:00,2025-06-27 13:00:00,0.0,0.0
KM DOROLONDA,SURABAYA,2025-06-26 12:00:00,0.7196417538950366,2025-06-25 18:43:42.952463469,2025-06-26 12:00:00,2025-06-26 12:00:00,2025-06-26 20:00:00,0.0,0.0
KM LAMBELU,BALIKPAPAN,2025-06-26 11:00:00,0.4103734411721331,2025-06-26 01:09:03.734682729,2025-06-26 11:00:00,2025-06-26 11:00:00,2025-06-26 13:00:00,0.0,0.0
KM SINABUNG,BANGGAI,2025-06-26 11:00:00,0.3700473877522113,2025-06-26 02:07:07.905698210,2025-06-26 11:00:00,2025-06-26 11:00:00,2025-06-26 12:00:00,0.0,0.0
KM TILONGKABILA,LEMBAR,2025-06-26 15:00:00,0.1859552527517175,2025-06-26 10:32:13.466162253,2025-06-26 15:00:00,2025-06-26 15:00:00,2025-06-26 17:00:00,0.0,0.0
KM KELIMUTU,PONTIANAK,2025-06-26 17:00:00,0.2359297220260703,2025-06-26 11:20:15.672016947,2025-06-26 17:00:00,2025-06-26 17:00:00,2025-06-26 19:00:00,0.0,0.0
KM SINABUNG,BITUNG,2025-06-27 03:00:00,0.3461448568564104,2025-06-26 18:41:33.084367606,2025-06-27 03:00:00,2025-06-27 03:00:00,2025-06-27 06:00:00,0.0,0.0
KM SINABUNG,TERNATE,2025-06-27 16:00:00,0.7038502381200094,2025-06-26 23:06:27.339426432,2025-06-27 16:00:00,2025-06-27 16:00:00,2025-06-27 18:00:00,0.0,0.0
KM TILONGKABILA,BIMA,2025-06-27 11:00:00,0.4171694986924547,2025-06-27 00:59:16.555312972,2025-06-27 11:00:00,2025-06-27 11:00:00,2025-06-27 15:00:00,0.0,0.0
KM LAMBELU,TARAKAN,2025-06-27 15:00:00,0.4663652917908769,2025-06-27 03:48:26.038789269,2025-06-27 15:00:00,2025-06-27 15:00:00,2025-06-27 18:00:00,0.0,0.0
KM TILONGKABILA,LABUAN BAJO,2025-06-27 22:00:00,0.6199179754219112,2025-06-27 07:07:19.086923547,2025-06-27 22:00:00,2025-06-27 22:00:00,2025-06-28 00:00:00,0.0,0.0
KM NGGAPULU,SURABAYA,2025-06-28 00:00:00,0.4984900142623187,2025-06-27 12:02:10.462767735,2025-06-28 00:00:00,2025-06-28 00:00:00,2025-06-28 04:00:00,0.0,0.0
KM CIREMAI,TANJUNG PRIOK,2025-06-28 01:00:00,0.4110664711744681,2025-06-27 15:08:03.856890527,2025-06-28 01:00:00,2025-06-28 01:00:00,2025-06-28 15:00:00,0.0,0.0
KM DOROLONDA,MAKASSAR,2025-06-28 00:00:00,0.3566263183813852,2025-06-27 15:26:27.486091850,2025-06-28 00:00:00,2025-06-28 00:00:00,2025-06-28 03:00:00,0.0,0.0
KM KELIMUTU,SEMARANG,2025-06-28 11:00:00,0.6865527075796372,2025-06-27 18:31:21.846065121,2025-06-28 11:00:00,2025-06-28 11:00:00,2025-06-29 05:00:00,0.0,0.0
KM SINABUNG,BACAN,2025-06-28 00:00:00,0.1744359158344048,2025-06-27 19:48:48.736871907,2025-06-28 00:00:00,2025-06-28 00:00:00,2025-06-28 01:00:00,0.0,0.0
KM LAMBELU,NUNUKAN,2025-06-28 00:00:00,0.1187718557135395,2025-06-27 21:08:58.111666350,2025-06-28 00:00:00,2025-06-28 00:00:00,2025-06-28 03:00:00,0.0,0.0
KM DOROLONDA,BAU-BAU,2025-06-28 17:00:00,0.6947365140194428,2025-06-28 00:19:34.765188719,2025-06-28 17:00:00,2025-06-28 17:00:00,2025-06-28 19:00:00,0.0,0.0
KM TILONGKABILA,MAKASSAR,2025-06-28 18:00:00,0.7127783798513767,2025-06-28 00:53:35.947980842,2025-06-28 18:00:00,2025-06-28 18:00:00,2025-06-28 23:00:00,0.0,0.0
KM AWU,SURABAYA,2025-06-28 17:00:00,0.6016096245649569,2025-06-28 02:33:40.928437588,2025-06-28 17:00:00,2025-06-28 17:00:00,2025-06-29 00:00:00,0.0,0.0
KM SINABUNG,SORONG,2025-06-28 17:00:00,0.449581044222741,2025-06-28 06:12:36.197779155,2025-06-28 17:00:00,2025-06-28 17:00:00,2025-06-28 20:00:00,0.0,0.0
KM JETLINER,KENDARI,2025-06-28 21:00:00,0.2958524127577353,2025-06-28 13:53:58.351537731,2025-06-28 21:00:00,2025-06-28 21:00:00,2025-06-29 07:00:00,0.0,0.0
KM LAMBELU,PANTOLOAN,2025-06-29 00:00:00,0.3703617501911329,2025-06-28 15:06:40.744783487,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 02:00:00,0.0,0.0
KM NGGAPULU,MAKASSAR,2025-06-29 09:00:00,0.483844630338185,2025-06-28 21:23:15.823938783,2025-06-29 09:00:00,2025-06-29 09:00:00,2025-06-29 13:00:00,0.0,0.0
KM SINABUNG,MANOKWARI,2025-06-29 10:00:00,0.4112005560046744,2025-06-29 00:07:52.271961197,2025-06-29 10:00:00,2025-06-29 10:00:00,2025-06-29 12:00:00,0.0,0.0
KM CIREMAI,SURABAYA,2025-06-29 17:00:00,0.6193507435225222,2025-06-29 02:08:08.095759653,2025-06-29 17:00:00,2025-06-29 17:00:00,2025-06-29 21:00:00,0.0,0.0
KM TATAMAILAU,BITUNG,2025-06-29 12:00:00,0.3110809037023113,2025-06-29 04:32:02.609920122,2025-06-29 12:00:00,2025-06-29 12:00:00,2025-06-29 21:00:00,0.0,0.0
KM JETLINER,WANCI,2025-06-29 20:00:00,0.6431678915129497,2025-06-29 04:33:50.294173281,2025-06-29 20:00:00,2025-06-29 20:00:00,2025-06-29 22:00:00,0.0,0.0
KM DOROLONDA,NAMLEA,2025-06-29 19:00:00,0.597829165656827,2025-06-29 04:39:07.560087250,2025-06-29 19:00:00,2025-06-29 19:00:00,2025-06-29 21:00:00,0.0,0.0
KM SIRIMAU,SORONG,2025-06-30 02:00:00,0.6722407089252125,2025-06-29 09:51:58.402748863,2025-06-30 02:00:00,2025-06-30 02:00:00,2025-06-30 06:00:00,0.0,0.0
KM LAMBELU,BALIKPAPAN,2025-06-29 15:00:00,0.2070624098615501,2025-06-29 10:01:49.807787963,2025-06-29 15:00:00,2025-06-29 15:00:00,2025-06-29 17:00:00,0.0,0.0
KM TILONGKABILA,BAU-BAU,2025-06-29 20:00:00,0.2025160170998639,2025-06-29 15:08:22.616122571,2025-06-29 20:00:00,2025-06-29 20:00:00,2025-06-29 22:00:00,0.0,0.0
KM DOROLONDA,AMBON,2025-06-30 02:00:00,0.4319129932787967,2025-06-29 15:38:02.717380713,2025-06-30 02:00:00,2025-06-30 02:00:00,2025-06-30 05:00:00,0.0,0.0
KM AWU,BENOA,2025-06-30 03:00:00,0.446439149749779,2025-06-29 16:17:07.657461618,2025-06-30 03:00:00,2025-06-30 03:00:00,2025-06-30 09:00:00,0.0,0.0
KM NGGAPULU,BAU-BAU,2025-06-30 03:00:00,0.4460376749669562,2025-06-29 16:17:42.344882855,2025-06-30 03:00:00,2025-06-30 03:00:00,2025-06-30 05:00:00,0.0,0.0
KM JETLINER,KENDARI,2025-06-30 11:00:00,0.7404990428725835,2025-06-29 17:13:40.882695809,2025-06-30 11:00:00,2025-06-30 11:00:00,2025-06-30 17:00:00,0.0,0.0
KM TILONGKABILA,RAHA,2025-06-30 02:00:00,0.3583385816186006,2025-06-29 17:23:59.546548155,2025-06-30 02:00:00,2025-06-30 02:00:00,2025-06-30 04:00:00,0.0,0.0
KM SINABUNG,NABIRE,2025-06-29 22:00:00,0.1656605186892151,2025-06-29 18:01:26.931185253,2025-06-29 22:00:00,2025-06-29 22:00:00,2025-06-30 00:00:00,0.0,0.0
KM KELIMUTU,KUMAI,2025-06-30 05:00:00,0.4092274377269511,2025-06-29 19:10:42.749380391,2025-06-30 05:00:00,2025-06-30 05:00:00,2025-06-30 07:00:00,0.0,0.0
KM TILONGKABILA,KENDARI,2025-06-30 10:00:00,0.5943907866490079,2025-06-29 19:44:04.636033527,2025-06-30 10:00:00,2025-06-30 17:00:00,2025-06-30 21:00:00,7.0,7.0
KM SANGIANG,BITUNG,2025-06-30 09:00:00,0.5318529197853998,2025-06-29 20:14:07.907730540,2025-06-30 09:00:00,2025-06-30 09:00:00,2025-06-30 21:00:00,0.0,0.0
KM TATAMAILAU,TIDORE,2025-06-30 11:00:00,0.5073034144122653,2025-06-29 22:49:28.984994782,2025-06-30 11:00:00,2025-06-30 11:00:00,2025-06-30 12:00:00,0.0,0.0
KM SINABUNG,BIAK,2025-06-30 09:00:00,0.3777515842186769,2025-06-29 23:56:02.263123508,2025-06-30 09:00:00,2025-06-30 09:00:00,2025-06-30 11:00:00,0.0,0.0
KM LAMBELU,PARE-PARE,2025-06-30 09:00:00,0.2761045463157262,2025-06-30 02:22:24.567198323,2025-06-30 09:00:00,2025-06-30 09:00:00,2025-06-30 12:00:00,0.0,0.0
