Ship,Port,Planned_ETA,Actual_RTA,Actual_ETD,Delay_Hours
KM TIDAR,KIJANG,2025-07-03 07:00:00,2025-07-03 07:00:00,2025-07-03 10:00:00,0.0
KM JETLINER,WANCI,2025-07-03 07:00:00,2025-07-03 07:00:00,2025-07-03 09:00:00,0.0
KM DOROLONDA,JAYAPURA,2025-07-03 10:00:00,2025-07-03 10:00:00,2025-07-03 15:00:00,0.0
KM SINABUNG,MANOKWARI,2025-07-03 10:00:00,2025-07-03 10:00:00,2025-07-03 12:00:00,0.0
KM SIRIMAU,BAU-BAU,2025-07-03 11:00:00,2025-07-03 11:00:00,2025-07-03 14:00:00,0.0
KM BK SIGUNTANG,MAKASSAR,2025-07-03 14:00:00,2025-07-03 14:00:00,2025-07-04 06:00:00,0.0
KM PANGRANGO,AMBON,2025-07-03 15:00:00,2025-07-03 15:00:00,2025-07-04 16:00:00,0.0
KM LAMBELU,MAKASSAR,2025-07-03 16:00:00,2025-07-04 06:00:00,2025-07-04 10:00:00,14.0
KM TATAMAILAU,TUAL,2025-07-03 17:00:00,2025-07-03 17:00:00,2025-07-03 20:00:00,0.0
KM TILONGKABILA,GORONTALO,2025-07-03 18:00:00,2025-07-03 18:00:00,2025-07-03 20:00:00,0.0
KM AWU,KALABAHI,2025-07-03 19:00:00,2025-07-03 19:00:00,2025-07-03 22:00:00,0.0
KM SANGIANG,NAMLEA,2025-07-03 21:00:00,2025-07-03 21:00:00,2025-07-03 23:00:00,0.0
KM JETLINER,KENDARI,2025-07-03 22:00:00,2025-07-03 22:00:00,2025-07-04 17:00:00,0.0
KM NGGAPULU,JAILOLO,2025-07-03 22:00:00,2025-07-03 22:00:00,2025-07-04 00:00:00,0.0
KM LABOBAR,MAKASSAR,2025-07-04 00:00:00,2025-07-04 10:00:00,2025-07-04 13:00:00,10.0
KM LAMBELU,PARE-PARE,2025-07-04 01:00:00,2025-07-04 10:00:00,2025-07-04 15:00:00,0.0
KM WILIS,MAKASSAR,2025-07-04 02:00:00,2025-07-04 13:00:00,2025-07-04 19:00:00,11.0
KM NGGAPULU,TERNATE,2025-07-04 02:00:00,2025-07-04 02:00:00,2025-07-04 04:00:00,0.0
KM SINABUNG,SORONG,2025-07-04 02:00:00,2025-07-04 02:00:00,2025-07-04 04:00:00,0.0
KM KELUD,TANJUNG PRIOK,2025-07-04 04:00:00,2025-07-04 04:00:00,2025-07-04 21:00:00,0.0
KM CIREMAI,SORONG,2025-07-04 04:00:00,2025-07-04 04:00:00,2025-07-04 06:00:00,0.0
KM TILONGKABILA,LUWUK,2025-07-04 07:00:00,2025-07-04 07:00:00,2025-07-04 09:00:00,0.0
KM KELIMUTU,SURABAYA,2025-07-04 07:00:00,2025-07-04 07:00:00,2025-07-04 10:00:00,0.0
KM SANGIANG,AMBON,2025-07-04 09:00:00,2025-07-04 16:00:00,2025-07-04 19:00:00,7.0
KM BINAIYA,BENOA,2025-07-04 09:00:00,2025-07-04 09:00:00,2025-07-04 14:00:00,0.0
KM DOROLONDA,WAREN,2025-07-04 09:00:00,2025-07-04 09:00:00,2025-07-04 11:00:00,0.0
KM SIRIMAU,MAUMERE,2025-07-04 10:00:00,2025-07-04 10:00:00,2025-07-04 12:00:00,0.0
KM AWU,KUPANG,2025-07-04 11:00:00,2025-07-04 11:00:00,2025-07-04 16:00:00,0.0
KM DOROLONDA,NABIRE,2025-07-04 17:00:00,2025-07-04 17:00:00,2025-07-04 19:00:00,0.0
KM LAWIT,KUMAI,2025-07-04 18:00:00,2025-07-04 18:00:00,2025-07-04 21:00:00,0.0
KM LABOBAR,BAU-BAU,2025-07-04 19:00:00,2025-07-04 19:00:00,2025-07-04 21:00:00,0.0
KM TATAMAILAU,TIMIKA,2025-07-04 19:00:00,2025-07-04 19:00:00,2025-07-04 21:00:00,0.0
KM SINABUNG,BACAN,2025-07-04 20:00:00,2025-07-04 20:00:00,2025-07-04 21:00:00,0.0
KM TIDAR,TANJUNG PRIOK,2025-07-04 20:00:00,2025-07-04 21:00:00,2025-07-05 02:00:00,1.0
KM LAMBELU,BALIKPAPAN,2025-07-04 22:00:00,2025-07-04 22:00:00,2025-07-05 00:00:00,0.0
KM SIRIMAU,LEWOLEBA,2025-07-04 22:00:00,2025-07-04 22:00:00,2025-07-05 00:00:00,0.0
KM NGGAPULU,AMBON,2025-07-05 00:00:00,2025-07-05 00:00:00,2025-07-05 03:00:00,0.0
KM BK SIGUNTANG,MAUMERE,2025-07-05 00:00:00,2025-07-05 00:00:00,2025-07-05 03:00:00,0.0
KM TILONGKABILA,KENDARI,2025-07-05 03:00:00,2025-07-05 03:00:00,2025-07-05 07:00:00,0.0
KM SANGIANG,BANDA,2025-07-05 04:00:00,2025-07-05 04:00:00,2025-07-05 06:00:00,0.0
KM SINABUNG,TERNATE,2025-07-05 04:00:00,2025-07-05 04:00:00,2025-07-05 06:00:00,0.0
KM AWU,ENDE,2025-07-05 05:00:00,2025-07-05 05:00:00,2025-07-05 07:00:00,0.0
KM DOROLONDA,MANOKWARI,2025-07-05 05:00:00,2025-07-05 05:00:00,2025-07-05 07:00:00,0.0
KM JETLINER,WANCI,2025-07-05 06:00:00,2025-07-05 06:00:00,2025-07-05 08:00:00,0.0
KM PANGRANGO,BANDA,2025-07-05 07:00:00,2025-07-05 07:00:00,2025-07-06 16:00:00,0.0
KM CIREMAI,NABIRE,2025-07-05 07:00:00,2025-07-05 07:00:00,2025-07-05 09:00:00,0.0
KM WILIS,LABUAN BAJO,2025-07-05 08:00:00,2025-07-05 08:00:00,2025-07-05 09:00:00,0.0
KM NGGAPULU,NAMLEA,2025-07-05 08:00:00,2025-07-05 08:00:00,2025-07-05 10:00:00,0.0
KM BK SIGUNTANG,LEWOLEBA,2025-07-05 09:00:00,2025-07-05 09:00:00,2025-07-05 12:00:00,0.0
KM SIRIMAU,KUPANG,2025-07-05 12:00:00,2025-07-05 12:00:00,2025-07-05 19:00:00,0.0
KM KELIMUTU,KUMAI,2025-07-05 12:00:00,2025-07-05 12:00:00,2025-07-05 14:00:00,0.0
KM TATAMAILAU,AGATS,2025-07-05 12:00:00,2025-07-05 12:00:00,2025-07-05 14:00:00,0.0
KM LAMBELU,PANTOLOAN,2025-07-05 13:00:00,2025-07-05 13:00:00,2025-07-05 15:00:00,0.0
KM BINAIYA,BIMA,2025-07-05 13:00:00,2025-07-05 13:00:00,2025-07-05 15:00:00,0.0
KM TILONGKABILA,RAHA,2025-07-05 14:00:00,2025-07-05 14:00:00,2025-07-05 15:00:00,0.0
KM SANGIANG,GESER,2025-07-05 15:00:00,2025-07-05 15:00:00,2025-07-05 17:00:00,0.0
KM SINABUNG,BITUNG,2025-07-05 16:00:00,2025-07-05 16:00:00,2025-07-05 18:00:00,0.0
KM AWU,WAINGAPU,2025-07-05 16:00:00,2025-07-05 16:00:00,2025-07-05 19:00:00,0.0
KM CIREMAI,SERUI,2025-07-05 16:00:00,2025-07-05 16:00:00,2025-07-05 18:00:00,0.0
KM WILIS,BIMA,2025-07-05 18:00:00,2025-07-05 18:00:00,2025-07-05 19:00:00,0.0
KM DOROLONDA,SORONG,2025-07-05 19:00:00,2025-07-05 19:00:00,2025-07-05 21:00:00,0.0
KM BK SIGUNTANG,KUPANG,2025-07-05 19:00:00,2025-07-05 19:00:00,2025-07-05 23:00:00,0.0
KM TILONGKABILA,BAU-BAU,2025-07-05 20:00:00,2025-07-05 20:00:00,2025-07-05 22:00:00,0.0
KM JETLINER,KENDARI,2025-07-05 21:00:00,2025-07-05 21:00:00,2025-07-06 07:00:00,0.0
KM JETLINER,KENDARI,2025-07-05 21:00:00,2025-07-06 07:00:00,2025-07-06 07:00:00,0.0
KM LABOBAR,AMBON,2025-07-05 22:00:00,2025-07-05 22:00:00,2025-07-06 01:00:00,0.0
KM BINAIYA,LABUAN BAJO,2025-07-05 23:00:00,2025-07-05 23:00:00,2025-07-06 01:00:00,0.0
KM LAWIT,SURABAYA,2025-07-06 01:00:00,2025-07-06 01:00:00,2025-07-06 06:00:00,0.0
KM SANGIANG,FAK-FAK,2025-07-06 04:00:00,2025-07-06 04:00:00,2025-07-06 10:00:00,0.0
KM KELUD,BATAM,2025-07-06 05:00:00,2025-07-06 05:00:00,2025-07-06 10:00:00,0.0
KM WILIS,WAIKELO,2025-07-06 06:00:00,2025-07-06 06:00:00,2025-07-06 07:00:00,0.0
KM TIDAR,SURABAYA,2025-07-06 06:00:00,2025-07-06 06:00:00,2025-07-06 08:00:00,0.0
KM BK SIGUNTANG,LEWOLEBA,2025-07-06 06:00:00,2025-07-06 06:00:00,2025-07-06 08:00:00,0.0
KM NGGAPULU,BAU-BAU,2025-07-06 08:00:00,2025-07-06 08:00:00,2025-07-06 10:00:00,0.0
KM LABOBAR,BANDA,2025-07-06 09:00:00,2025-07-06 16:00:00,2025-07-06 18:00:00,7.0
KM SINABUNG,BANGGAI,2025-07-06 09:00:00,2025-07-06 09:00:00,2025-07-06 11:00:00,0.0
KM AWU,BIMA,2025-07-06 09:00:00,2025-07-06 09:00:00,2025-07-06 11:00:00,0.0
KM SIRIMAU,KALABAHI,2025-07-06 09:00:00,2025-07-06 09:00:00,2025-07-06 11:00:00,0.0
KM LAMBELU,TARAKAN,2025-07-06 10:00:00,2025-07-06 10:00:00,2025-07-06 14:00:00,0.0
KM KELIMUTU,SEMARANG,2025-07-06 13:00:00,2025-07-06 13:00:00,2025-07-06 18:00:00,0.0
KM KELUD,TANJUNG BALAI KARIMUN,2025-07-06 13:00:00,2025-07-06 13:00:00,2025-07-06 14:00:00,0.0
KM CIREMAI,JAYAPURA,2025-07-06 14:00:00,2025-07-06 14:00:00,2025-07-06 20:00:00,0.0
KM BK SIGUNTANG,MAUMERE,2025-07-06 14:00:00,2025-07-06 14:00:00,2025-07-06 16:00:00,0.0
KM WILIS,WAINGAPU,2025-07-06 16:00:00,2025-07-06 16:00:00,2025-07-06 20:00:00,0.0
KM DOROLONDA,AMBON,2025-07-06 17:00:00,2025-07-06 17:00:00,2025-07-06 20:00:00,0.0
KM TILONGKABILA,MAKASSAR,2025-07-06 20:00:00,2025-07-06 20:00:00,2025-07-07 01:00:00,0.0
KM JETLINER,WANCI,2025-07-06 20:00:00,2025-07-06 20:00:00,2025-07-06 22:00:00,0.0
KM LAMBELU,NUNUKAN,2025-07-06 20:00:00,2025-07-06 20:00:00,2025-07-06 23:00:00,0.0
KM BINAIYA,MAKASSAR,2025-07-06 20:00:00,2025-07-07 01:00:00,2025-07-07 07:00:00,5.0
KM SANGIANG,GESER,2025-07-06 22:00:00,2025-07-06 22:00:00,2025-07-07 00:00:00,0.0
KM LABOBAR,TUAL,2025-07-07 00:00:00,2025-07-07 00:00:00,2025-07-07 03:00:00,0.0
KM DOROLONDA,NAMLEA,2025-07-07 01:00:00,2025-07-07 01:00:00,2025-07-07 03:00:00,0.0
KM NGGAPULU,MAKASSAR,2025-07-07 02:00:00,2025-07-07 07:00:00,2025-07-07 10:00:00,5.0
KM SINABUNG,BAU-BAU,2025-07-07 03:00:00,2025-07-07 03:00:00,2025-07-07 05:00:00,0.0
KM BK SIGUNTANG,BAU-BAU,2025-07-07 06:00:00,2025-07-07 06:00:00,2025-07-07 08:00:00,0.0
KM PANGRANGO,AMBON,2025-07-07 07:00:00,2025-07-07 07:00:00,2025-07-07 20:00:00,0.0
KM WILIS,ENDE,2025-07-07 07:00:00,2025-07-07 07:00:00,2025-07-07 09:00:00,0.0
KM AWU,BENOA,2025-07-07 08:00:00,2025-07-07 08:00:00,2025-07-07 11:00:00,0.0
KM BINAIYA,AWERANGE,2025-07-07 08:00:00,2025-07-07 08:00:00,2025-07-07 10:00:00,0.0
KM SANGIANG,BANDA,2025-07-07 09:00:00,2025-07-07 09:00:00,2025-07-07 11:00:00,0.0
KM LABOBAR,DOBO,2025-07-07 10:00:00,2025-07-07 10:00:00,2025-07-07 13:00:00,0.0
KM TATAMAILAU,MERAUKE,2025-07-07 10:00:00,2025-07-07 10:00:00,2025-07-08 07:00:00,0.0
KM DOBONSOLO,TANJUNG PRIOK,2025-07-07 11:00:00,2025-07-07 11:00:00,2025-07-07 21:00:00,0.0
KM JETLINER,KENDARI,2025-07-07 11:00:00,2025-07-07 11:00:00,2025-07-07 17:00:00,0.0
KM LAWIT,BENOA,2025-07-07 11:00:00,2025-07-07 11:00:00,2025-07-07 15:00:00,0.0
KM KELUD,BELAWAN,2025-07-07 13:00:00,2025-07-07 13:00:00,2025-07-08 13:00:00,0.0
KM CIREMAI,SERUI,2025-07-07 15:00:00,2025-07-07 15:00:00,2025-07-07 17:00:00,0.0
KM TIDAR,MAKASSAR,2025-07-07 15:00:00,2025-07-07 15:00:00,2025-07-07 18:00:00,0.0
KM TILONGKABILA,LABUAN BAJO,2025-07-07 19:00:00,2025-07-07 19:00:00,2025-07-07 21:00:00,0.0
KM SINABUNG,MAKASSAR,2025-07-07 20:00:00,2025-07-07 20:00:00,2025-07-07 22:00:00,0.0
KM LABOBAR,KAIMANA,2025-07-07 22:00:00,2025-07-07 22:00:00,2025-07-08 00:00:00,0.0
KM CIREMAI,NABIRE,2025-07-07 23:00:00,2025-07-07 23:00:00,2025-07-08 01:00:00,0.0
KM BK SIGUNTANG,MAKASSAR,2025-07-08 00:00:00,2025-07-08 00:00:00,2025-07-08 05:00:00,0.0
KM WILIS,KUPANG,2025-07-08 01:00:00,2025-07-08 01:00:00,2025-07-08 09:00:00,0.0
KM LAMBELU,BALIKPAPAN,2025-07-08 02:00:00,2025-07-08 02:00:00,2025-07-08 04:00:00,0.0
KM DOROLONDA,BAU-BAU,2025-07-08 02:00:00,2025-07-08 02:00:00,2025-07-08 04:00:00,0.0
KM TILONGKABILA,BIMA,2025-07-08 04:00:00,2025-07-08 04:00:00,2025-07-08 06:00:00,0.0
KM SANGIANG,AMBON,2025-07-08 04:00:00,2025-07-08 04:00:00,2025-07-08 07:00:00,0.0
KM JETLINER,WANCI,2025-07-08 06:00:00,2025-07-08 06:00:00,2025-07-08 08:00:00,0.0
KM SIRIMAU,SAUMLAKI,2025-07-08 07:00:00,2025-07-08 07:00:00,2025-07-08 09:00:00,0.0
KM PANGRANGO,NAMROLE,2025-07-08 07:00:00,2025-07-08 07:00:00,2025-07-08 09:00:00,0.0
KM NGGAPULU,SURABAYA,2025-07-08 09:00:00,2025-07-08 09:00:00,2025-07-08 12:00:00,0.0
KM TIDAR,BAU-BAU,2025-07-08 10:00:00,2025-07-08 10:00:00,2025-07-08 12:00:00,0.0
KM LABOBAR,FAK-FAK,2025-07-08 10:00:00,2025-07-08 10:00:00,2025-07-08 13:00:00,0.0
KM BK SIGUNTANG,PARE-PARE,2025-07-08 10:00:00,2025-07-08 10:00:00,2025-07-08 14:00:00,0.0
KM BINAIYA,BONTANG,2025-07-08 13:00:00,2025-07-08 13:00:00,2025-07-08 16:00:00,0.0
KM LAWIT,BIMA,2025-07-08 13:00:00,2025-07-08 13:00:00,2025-07-08 15:00:00,0.0
KM AWU,SURABAYA,2025-07-08 15:00:00,2025-07-08 15:00:00,2025-07-08 22:00:00,0.0
KM KELIMUTU,PONTIANAK,2025-07-08 16:00:00,2025-07-08 16:00:00,2025-07-08 18:00:00,0.0
KM SANGIANG,NAMLEA,2025-07-08 18:00:00,2025-07-08 18:00:00,2025-07-08 20:00:00,0.0
KM DOROLONDA,MAKASSAR,2025-07-08 18:00:00,2025-07-08 18:00:00,2025-07-08 21:00:00,0.0
KM PANGRANGO,AMBON,2025-07-08 20:00:00,2025-07-08 20:00:00,2025-07-09 00:00:00,0.0
KM LAMBELU,PARE-PARE,2025-07-08 20:00:00,2025-07-08 20:00:00,2025-07-08 22:00:00,0.0
KM JETLINER,KENDARI,2025-07-08 21:00:00,2025-07-08 21:00:00,2025-07-08 23:00:00,0.0
KM DOBONSOLO,SURABAYA,2025-07-08 23:00:00,2025-07-08 23:00:00,2025-07-09 02:00:00,0.0
KM LABOBAR,KAIMANA,2025-07-08 23:00:00,2025-07-08 23:00:00,2025-07-09 02:00:00,0.0
KM TILONGKABILA,LEMBAR,2025-07-09 00:00:00,2025-07-09 00:00:00,2025-07-09 02:00:00,0.0
KM SINABUNG,SURABAYA,2025-07-09 02:00:00,2025-07-09 02:00:00,2025-07-09 16:00:00,0.0
