Ship,Port,Planned_ETA,Actual_RTA,Actual_ETD,Delay_Hours
KM SINABUNG,SURABAYA,2025-06-22 20:00:00,2025-06-22 20:00:00,2025-06-23 14:00:00,0.0
KM KELIMUTU,TANJUNG PRIOK,2025-06-23 09:00:00,2025-06-23 09:00:00,2025-06-24 19:00:00,0.0
KM SINABUNG,MAKASSAR,2025-06-24 21:00:00,2025-06-24 21:00:00,2025-06-25 00:00:00,0.0
KM LAMBELU,MAKASSAR,2025-06-25 03:00:00,2025-06-25 03:00:00,2025-06-25 11:00:00,0.0
KM NGGAPULU,TANJUNG PRIOK,2025-06-25 05:00:00,2025-06-25 05:00:00,2025-06-26 21:00:00,0.0
KM TILONGKABILA,BENOA,2025-06-25 08:00:00,2025-06-25 08:00:00,2025-06-26 09:00:00,0.0
KM KELIMUTU,TANJUNG PANDAN,2025-06-25 13:00:00,2025-06-25 13:00:00,2025-06-25 15:00:00,0.0
KM SINABUNG,BAU-BAU,2025-06-25 15:00:00,2025-06-25 15:00:00,2025-06-25 18:00:00,0.0
KM LAMBELU,PARE-PARE,2025-06-25 16:00:00,2025-06-25 16:00:00,2025-06-25 19:00:00,0.0
KM AWU,KUMAI,2025-06-26 03:00:00,2025-06-26 03:00:00,2025-06-27 13:00:00,0.0
KM LAMBELU,BALIKPAPAN,2025-06-26 11:00:00,2025-06-26 11:00:00,2025-06-26 13:00:00,0.0
KM SINABUNG,BANGGAI,2025-06-26 11:00:00,2025-06-26 11:00:00,2025-06-26 12:00:00,0.0
KM DOROLONDA,SURABAYA,2025-06-26 12:00:00,2025-06-26 12:00:00,2025-06-26 20:00:00,0.0
KM TILONGKABILA,LEMBAR,2025-06-26 15:00:00,2025-06-26 15:00:00,2025-06-26 17:00:00,0.0
KM KELIMUTU,PONTIANAK,2025-06-26 17:00:00,2025-06-26 17:00:00,2025-06-26 19:00:00,0.0
KM SINABUNG,BITUNG,2025-06-27 03:00:00,2025-06-27 03:00:00,2025-06-27 06:00:00,0.0
KM TILONGKABILA,BIMA,2025-06-27 11:00:00,2025-06-27 11:00:00,2025-06-27 15:00:00,0.0
KM LAMBELU,TARAKAN,2025-06-27 15:00:00,2025-06-27 15:00:00,2025-06-27 18:00:00,0.0
KM SINABUNG,TERNATE,2025-06-27 16:00:00,2025-06-27 16:00:00,2025-06-27 18:00:00,0.0
KM TILONGKABILA,LABUAN BAJO,2025-06-27 22:00:00,2025-06-27 22:00:00,2025-06-28 00:00:00,0.0
KM LAMBELU,NUNUKAN,2025-06-28 00:00:00,2025-06-28 00:00:00,2025-06-28 03:00:00,0.0
KM SINABUNG,BACAN,2025-06-28 00:00:00,2025-06-28 00:00:00,2025-06-28 01:00:00,0.0
KM NGGAPULU,SURABAYA,2025-06-28 00:00:00,2025-06-28 00:00:00,2025-06-28 04:00:00,0.0
KM DOROLONDA,MAKASSAR,2025-06-28 00:00:00,2025-06-28 00:00:00,2025-06-28 03:00:00,0.0
KM CIREMAI,TANJUNG PRIOK,2025-06-28 01:00:00,2025-06-28 01:00:00,2025-06-28 15:00:00,0.0
KM KELIMUTU,SEMARANG,2025-06-28 11:00:00,2025-06-28 11:00:00,2025-06-29 05:00:00,0.0
KM AWU,SURABAYA,2025-06-28 17:00:00,2025-06-28 17:00:00,2025-06-29 00:00:00,0.0
KM DOROLONDA,BAU-BAU,2025-06-28 17:00:00,2025-06-28 17:00:00,2025-06-28 19:00:00,0.0
KM SINABUNG,SORONG,2025-06-28 17:00:00,2025-06-28 17:00:00,2025-06-28 20:00:00,0.0
KM TILONGKABILA,MAKASSAR,2025-06-28 18:00:00,2025-06-28 18:00:00,2025-06-28 23:00:00,0.0
KM JETLINER,KENDARI,2025-06-28 21:00:00,2025-06-28 21:00:00,2025-06-29 07:00:00,0.0
KM LAMBELU,PANTOLOAN,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 02:00:00,0.0
KM NGGAPULU,MAKASSAR,2025-06-29 09:00:00,2025-06-29 09:00:00,2025-06-29 13:00:00,0.0
KM SINABUNG,MANOKWARI,2025-06-29 10:00:00,2025-06-29 10:00:00,2025-06-29 12:00:00,0.0
KM TATAMAILAU,BITUNG,2025-06-29 12:00:00,2025-06-29 12:00:00,2025-06-29 21:00:00,0.0
KM LAMBELU,BALIKPAPAN,2025-06-29 15:00:00,2025-06-29 15:00:00,2025-06-29 17:00:00,0.0
KM CIREMAI,SURABAYA,2025-06-29 17:00:00,2025-06-29 17:00:00,2025-06-29 21:00:00,0.0
KM DOROLONDA,NAMLEA,2025-06-29 19:00:00,2025-06-29 19:00:00,2025-06-29 21:00:00,0.0
KM JETLINER,WANCI,2025-06-29 20:00:00,2025-06-29 20:00:00,2025-06-29 22:00:00,0.0
KM TILONGKABILA,BAU-BAU,2025-06-29 20:00:00,2025-06-29 20:00:00,2025-06-29 22:00:00,0.0
KM SINABUNG,NABIRE,2025-06-29 22:00:00,2025-06-29 22:00:00,2025-06-30 00:00:00,0.0
KM DOROLONDA,AMBON,2025-06-30 02:00:00,2025-06-30 02:00:00,2025-06-30 05:00:00,0.0
KM TILONGKABILA,RAHA,2025-06-30 02:00:00,2025-06-30 02:00:00,2025-06-30 04:00:00,0.0
KM SIRIMAU,SORONG,2025-06-30 02:00:00,2025-06-30 02:00:00,2025-06-30 06:00:00,0.0
KM NGGAPULU,BAU-BAU,2025-06-30 03:00:00,2025-06-30 03:00:00,2025-06-30 05:00:00,0.0
KM AWU,BENOA,2025-06-30 03:00:00,2025-06-30 03:00:00,2025-06-30 09:00:00,0.0
KM KELIMUTU,KUMAI,2025-06-30 05:00:00,2025-06-30 05:00:00,2025-06-30 07:00:00,0.0
KM LAMBELU,PARE-PARE,2025-06-30 09:00:00,2025-06-30 09:00:00,2025-06-30 12:00:00,0.0
KM SANGIANG,BITUNG,2025-06-30 09:00:00,2025-06-30 09:00:00,2025-06-30 21:00:00,0.0
KM SINABUNG,BIAK,2025-06-30 09:00:00,2025-06-30 09:00:00,2025-06-30 11:00:00,0.0
KM TILONGKABILA,KENDARI,2025-06-30 10:00:00,2025-06-30 10:00:00,2025-06-30 14:00:00,0.0
KM JETLINER,KENDARI,2025-06-30 11:00:00,2025-06-30 14:00:00,2025-06-30 20:00:00,3.0
KM TATAMAILAU,TIDORE,2025-06-30 11:00:00,2025-06-30 11:00:00,2025-06-30 12:00:00,0.0
KM LAMBELU,MAKASSAR,2025-06-30 17:00:00,2025-06-30 17:00:00,2025-06-30 20:00:00,0.0
KM LABOBAR,TANJUNG PRIOK,2025-06-30 19:00:00,2025-06-30 19:00:00,2025-07-01 13:00:00,0.0
KM DOROLONDA,SORONG,2025-07-01 01:00:00,2025-07-01 01:00:00,2025-07-01 04:00:00,0.0
KM CIREMAI,MAKASSAR,2025-07-01 03:00:00,2025-07-01 03:00:00,2025-07-01 07:00:00,0.0
KM NGGAPULU,NAMLEA,2025-07-01 04:00:00,2025-07-01 04:00:00,2025-07-01 06:00:00,0.0
KM JETLINER,WANCI,2025-07-01 06:00:00,2025-07-01 06:00:00,2025-07-01 08:00:00,0.0
KM AWU,BIMA,2025-07-01 06:00:00,2025-07-01 06:00:00,2025-07-01 08:00:00,0.0
KM TILONGKABILA,LUWUK,2025-07-01 07:00:00,2025-07-01 07:00:00,2025-07-01 10:00:00,0.0
KM SINABUNG,JAYAPURA,2025-07-01 07:00:00,2025-07-01 07:00:00,2025-07-01 13:00:00,0.0
KM KELIMUTU,SURABAYA,2025-07-01 09:00:00,2025-07-01 09:00:00,2025-07-01 13:00:00,0.0
KM LAMBELU,BAU-BAU,2025-07-01 11:00:00,2025-07-01 11:00:00,2025-07-01 13:00:00,0.0
KM NGGAPULU,AMBON,2025-07-01 12:00:00,2025-07-01 12:00:00,2025-07-01 16:00:00,0.0
KM WILIS,BATULICIN,2025-07-01 15:00:00,2025-07-01 15:00:00,2025-07-02 20:00:00,0.0
KM TATAMAILAU,SORONG,2025-07-01 16:00:00,2025-07-01 16:00:00,2025-07-01 18:00:00,0.0
KM SIRIMAU,AMBON,2025-07-01 16:00:00,2025-07-01 16:00:00,2025-07-01 19:00:00,0.0
KM SANGIANG,TERNATE,2025-07-01 16:00:00,2025-07-01 16:00:00,2025-07-01 19:00:00,0.0
KM DOROLONDA,MANOKWARI,2025-07-01 17:00:00,2025-07-01 17:00:00,2025-07-01 19:00:00,0.0
KM JETLINER,KENDARI,2025-07-01 21:00:00,2025-07-01 21:00:00,2025-07-01 23:00:00,0.0
KM TILONGKABILA,GORONTALO,2025-07-01 21:00:00,2025-07-01 21:00:00,2025-07-01 23:00:00,0.0
KM AWU,WAINGAPU,2025-07-01 22:00:00,2025-07-01 22:00:00,2025-07-02 01:00:00,0.0
KM CIREMAI,BAU-BAU,2025-07-01 23:00:00,2025-07-01 23:00:00,2025-07-02 01:00:00,0.0
KM LAMBELU,MAUMERE,2025-07-02 02:00:00,2025-07-02 02:00:00,2025-07-02 04:00:00,0.0
KM DOROLONDA,NABIRE,2025-07-02 05:00:00,2025-07-02 05:00:00,2025-07-02 07:00:00,0.0
KM SANGIANG,BACAN,2025-07-02 06:00:00,2025-07-02 06:00:00,2025-07-02 08:00:00,0.0
KM JETLINER,RAHA,2025-07-02 07:00:00,2025-07-02 07:00:00,2025-07-02 08:00:00,0.0
KM LAMBELU,LARANTUKA,2025-07-02 09:00:00,2025-07-02 09:00:00,2025-07-02 11:00:00,0.0
KM AWU,ENDE,2025-07-02 10:00:00,2025-07-02 10:00:00,2025-07-02 12:00:00,0.0
KM SINABUNG,BIAK,2025-07-02 10:00:00,2025-07-02 10:00:00,2025-07-02 12:00:00,0.0
KM TATAMAILAU,FAK-FAK,2025-07-02 11:00:00,2025-07-02 11:00:00,2025-07-02 13:00:00,0.0
KM NGGAPULU,TERNATE,2025-07-02 12:00:00,2025-07-02 12:00:00,2025-07-02 14:00:00,0.0
KM DOROLONDA,WAREN,2025-07-02 13:00:00,2025-07-02 13:00:00,2025-07-02 15:00:00,0.0
KM TILONGKABILA,BITUNG,2025-07-02 14:00:00,2025-07-02 14:00:00,2025-07-03 03:00:00,0.0
KM LABOBAR,SURABAYA,2025-07-02 15:00:00,2025-07-02 15:00:00,2025-07-02 19:00:00,0.0
KM JETLINER,KENDARI,2025-07-02 16:00:00,2025-07-02 16:00:00,2025-07-02 18:00:00,0.0
KM NGGAPULU,JAILOLO,2025-07-02 16:00:00,2025-07-02 16:00:00,2025-07-02 18:00:00,0.0
KM KELIMUTU,BATULICIN,2025-07-02 20:00:00,2025-07-02 20:00:00,2025-07-03 00:00:00,0.0
KM SINABUNG,NABIRE,2025-07-02 22:00:00,2025-07-02 22:00:00,2025-07-03 00:00:00,0.0
KM LAMBELU,BAU-BAU,2025-07-02 23:00:00,2025-07-02 23:00:00,2025-07-03 01:00:00,0.0
KM SIRIMAU,WANCI,2025-07-03 00:00:00,2025-07-03 00:00:00,2025-07-03 02:00:00,0.0
KM AWU,KUPANG,2025-07-03 01:00:00,2025-07-03 01:00:00,2025-07-03 06:00:00,0.0
KM TATAMAILAU,KAIMANA,2025-07-03 02:00:00,2025-07-03 02:00:00,2025-07-03 04:00:00,0.0
KM NGGAPULU,BITUNG,2025-07-03 03:00:00,2025-07-03 03:00:00,2025-07-03 12:00:00,0.0
KM CIREMAI,AMBON,2025-07-03 03:00:00,2025-07-03 03:00:00,2025-07-03 06:00:00,0.0
KM SANGIANG,SANANA,2025-07-03 06:00:00,2025-07-03 06:00:00,2025-07-03 08:00:00,0.0
