Ship_Name,Port_Name,ETA_Planned,Optimized_Priority,Queue_Time,Actual_Arrival,Actual_Berth,Actual_Departure,Delay_Hours,Waiting_Time_Hours
KM TILONGKABILA,BENOA,2024-12-25 08:00:00,0.3478437813930139,2024-12-24 23:39:06.297287645,2024-12-25 08:00:00,2024-12-25 08:00:00,2024-12-26 09:00:00,0.0,0.0
KM BK RAYA,TANJUNG PRIOK,2024-12-26 04:00:00,0.3688346924290591,2024-12-25 19:08:52.682574131,2024-12-26 04:00:00,2024-12-26 04:00:00,2024-12-26 12:00:00,0.0,0.0
KM TILONGKABILA,LEMBAR,2024-12-26 15:00:00,0.6401067714549508,2024-12-25 23:38:14.774946292,2024-12-26 15:00:00,2024-12-26 15:00:00,2024-12-26 17:00:00,0.0,0.0
KM LAMBELU,MAKASSAR,2024-12-27 04:00:00,0.6706756441957286,2024-12-26 11:54:13.624341491,2024-12-27 04:00:00,2024-12-27 04:00:00,2024-12-27 11:00:00,0.0,0.0
KM TILONGKABILA,BIMA,2024-12-27 11:00:00,0.3883742978394386,2024-12-27 01:40:44.460666671,2024-12-27 11:00:00,2024-12-27 11:00:00,2024-12-27 15:00:00,0.0,0.0
KM BK RAYA,BLINYU,2024-12-27 16:00:00,0.527034622996393,2024-12-27 03:21:04.208573114,2024-12-27 16:00:00,2024-12-27 16:00:00,2024-12-27 17:00:00,0.0,0.0
KM LAMBELU,PARE-PARE,2024-12-27 18:00:00,0.3502257565280962,2024-12-27 09:35:40.494635974,2024-12-27 18:00:00,2024-12-27 18:00:00,2024-12-27 21:00:00,0.0,0.0
KM TILONGKABILA,LABUAN BAJO,2024-12-27 22:00:00,0.3215292789523161,2024-12-27 14:16:59.870298519,2024-12-27 22:00:00,2024-12-27 22:00:00,2024-12-28 00:00:00,0.0,0.0
KM BK SIGUNTANG,MAKASSAR,2024-12-28 07:00:00,0.6467009715142406,2024-12-27 15:28:45.036061169,2024-12-28 07:00:00,2024-12-28 07:00:00,2024-12-29 00:00:00,0.0,0.0
KM BK RAYA,KIJANG,2024-12-28 08:00:00,0.237256291617966,2024-12-28 02:18:21.056404209,2024-12-28 08:00:00,2024-12-28 08:00:00,2024-12-28 11:00:00,0.0,0.0
KM LAMBELU,BALIKPAPAN,2024-12-28 14:00:00,0.4026526058777991,2024-12-28 04:20:10.814852159,2024-12-28 14:00:00,2024-12-28 14:00:00,2024-12-28 17:00:00,0.0,0.0
KM JETLINER,KENDARI,2024-12-28 22:00:00,0.6120260941169643,2024-12-28 07:18:40.945468295,2024-12-28 22:00:00,2024-12-28 22:00:00,2024-12-29 07:00:00,0.0,0.0
KM LABOBAR,TANJUNG PRIOK,2024-12-29 00:00:00,0.6942213485814972,2024-12-28 07:20:19.275482559,2024-12-29 00:00:00,2024-12-29 00:00:00,2024-12-29 12:00:00,0.0,0.0
KM CIREMAI,TANJUNG PRIOK,2024-12-29 05:00:00,0.7576317329189675,2024-12-28 10:49:00.618275802,2024-12-29 05:00:00,2024-12-29 12:00:00,2024-12-30 20:00:00,7.0,7.0
KM BK RAYA,LETUNG,2024-12-29 00:00:00,0.4867399632267791,2024-12-28 12:19:05.667177206,2024-12-29 00:00:00,2024-12-29 00:00:00,2024-12-29 01:00:00,0.0,0.0
KM TILONGKABILA,MAKASSAR,2024-12-28 18:00:00,0.1653604775501725,2024-12-28 14:01:52.854739666,2024-12-28 18:00:00,2024-12-29 00:00:00,2024-12-29 05:00:00,6.0,6.0
KM BK RAYA,TAREMPA,2024-12-29 05:00:00,0.4566645955551723,2024-12-28 18:02:24.178944034,2024-12-29 05:00:00,2024-12-29 05:00:00,2024-12-29 07:00:00,0.0,0.0
KM BK SIGUNTANG,PARE-PARE,2024-12-29 05:00:00,0.4241215038976322,2024-12-28 18:49:15.902063246,2024-12-29 05:00:00,2024-12-29 05:00:00,2024-12-29 09:00:00,0.0,0.0
