Ship_Name,Voyage_ID,Leg_Sequence,Port_Name,ETA_Planned,Service_Time_Hours,Next_Port
KM AWU,VOY_03_2025,1,SEMARANG,2025-02-07 10:00:00,660.0,SURABAYA
KM AWU,VOY_03_2025,2,SURABAYA,2025-03-07 12:00:00,17.0,BENOA
KM AWU,VOY_03_2025,3,BENOA,2025-03-09 09:00:00,6.0,BIMA
KM AWU,VOY_03_2025,4,BIMA,2025-03-10 12:00:00,3.0,WAINGAPU
KM AWU,VOY_03_2025,5,WAINGAPU,2025-03-11 05:00:00,3.0,ENDE
KM AWU,VOY_03_2025,6,ENDE,2025-03-11 17:00:00,2.0,KUPANG
KM AWU,VOY_03_2025,7,KUPANG,2025-03-12 08:00:00,3.0,KALABAHI
KM AWU,VOY_03_2025,8,KALABAHI,2025-03-13 00:00:00,2.0,KUPANG
KM AWU,VOY_03_2025,9,KUPANG,2025-03-13 15:00:00,3.0,ENDE
KM AWU,VOY_03_2025,10,ENDE,2025-03-14 07:00:00,2.0,WAINGAPU
KM AWU,VOY_03_2025,11,WAINGAPU,2025-03-14 18:00:00,2.0,BIMA
KM AWU,VOY_03_2025,12,BIMA,2025-03-15 10:00:00,2.0,BENOA
KM AWU,VOY_03_2025,13,BENOA,2025-03-16 09:00:00,3.0,SURABAYA
KM AWU,VOY_03_2025,14,SURABAYA,2025-03-17 16:00:00,3.0,KUMAI
KM AWU,VOY_03_2025,15,KUMAI,2025-03-18 23:00:00,3.0,SEMARANG
KM AWU,VOY_03_2025,16,SEMARANG,2025-03-20 04:00:00,3.0,KUMAI
KM AWU,VOY_03_2025,17,KUMAI,2025-03-21 07:00:00,0.0,
KM AWU,VOY_04_2025,1,KUMAI,2025-03-21 12:00:00,3.0,SEMARANG
KM AWU,VOY_04_2025,2,SEMARANG,2025-03-22 16:00:00,3.0,KUMAI
KM AWU,VOY_04_2025,3,KUMAI,2025-03-23 19:00:00,3.0,SURABAYA
KM AWU,VOY_04_2025,4,SURABAYA,2025-03-25 03:00:00,6.0,BENOA
KM AWU,VOY_04_2025,5,BENOA,2025-03-26 12:00:00,4.0,BIMA
KM AWU,VOY_04_2025,6,BIMA,2025-03-27 13:00:00,2.0,WAINGAPU
KM AWU,VOY_04_2025,7,WAINGAPU,2025-03-28 05:00:00,3.0,ENDE
KM AWU,VOY_04_2025,8,ENDE,2025-03-28 17:00:00,2.0,KUPANG
KM AWU,VOY_04_2025,9,KUPANG,2025-03-29 08:00:00,4.0,KALABAHI
KM AWU,VOY_04_2025,10,KALABAHI,2025-03-30 01:00:00,2.0,KUPANG
KM AWU,VOY_04_2025,11,KUPANG,2025-03-30 16:00:00,4.0,ENDE
KM AWU,VOY_04_2025,12,ENDE,2025-03-31 09:00:00,2.0,WAINGAPU
KM AWU,VOY_04_2025,13,WAINGAPU,2025-03-31 20:00:00,3.0,BIMA
KM AWU,VOY_04_2025,14,BIMA,2025-04-01 13:00:00,2.0,BENOA
KM AWU,VOY_04_2025,15,BENOA,2025-04-02 13:00:00,4.0,SURABAYA
KM AWU,VOY_04_2025,16,SURABAYA,2025-04-03 21:00:00,2.0,KUMAI
KM AWU,VOY_04_2025,17,KUMAI,2025-04-05 03:00:00,0.0,
KM KELUD,VOY_09_2025,1,TANJUNG PRIOK,2025-02-27 17:00:00,9.0,BATAM
KM KELUD,VOY_09_2025,2,BATAM,2025-03-01 09:00:00,4.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_09_2025,3,TANJUNG BALAI KARIMUN,2025-03-01 16:00:00,1.0,BELAWAN
KM KELUD,VOY_09_2025,4,BELAWAN,2025-03-02 16:00:00,16.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_09_2025,5,TANJUNG BALAI KARIMUN,2025-03-04 07:00:00,1.0,BATAM
KM KELUD,VOY_09_2025,6,BATAM,2025-03-04 11:00:00,3.0,TANJUNG PRIOK
KM KELUD,VOY_09_2025,7,TANJUNG PRIOK,2025-03-05 20:00:00,0.0,
KM KELUD,VOY_10_2025,1,TANJUNG PRIOK,2025-03-05 20:00:00,11.0,BATAM
KM KELUD,VOY_10_2025,2,BATAM,2025-03-07 14:00:00,4.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_10_2025,3,TANJUNG BALAI KARIMUN,2025-03-07 21:00:00,1.0,BELAWAN
KM KELUD,VOY_10_2025,4,BELAWAN,2025-03-08 21:00:00,19.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_10_2025,5,TANJUNG BALAI KARIMUN,2025-03-10 15:00:00,1.0,BATAM
KM KELUD,VOY_10_2025,6,BATAM,2025-03-10 19:00:00,3.0,TANJUNG PRIOK
KM KELUD,VOY_10_2025,7,TANJUNG PRIOK,2025-03-12 04:00:00,0.0,
KM KELUD,VOY_11_2025,1,TANJUNG PRIOK,2025-03-12 04:00:00,20.0,BATAM
KM KELUD,VOY_11_2025,2,BATAM,2025-03-14 08:00:00,4.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_11_2025,3,TANJUNG BALAI KARIMUN,2025-03-14 15:00:00,1.0,BELAWAN
KM KELUD,VOY_11_2025,4,BELAWAN,2025-03-15 15:00:00,17.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_11_2025,5,TANJUNG BALAI KARIMUN,2025-03-17 07:00:00,1.0,BATAM
KM KELUD,VOY_11_2025,6,BATAM,2025-03-17 11:00:00,4.0,TANJUNG PRIOK
