Ship_Name,Voyage_ID,Leg_Sequence,Port_Name,ETA_Planned,Service_Time_Hours,Next_Port
KM AWU,VOY_11_2025,1,KUMAI,2025-06-26 03:00:00,34.0,SURABAYA
KM AWU,VOY_11_2025,2,SURABAYA,2025-06-28 17:00:00,7.0,BENOA
KM AWU,VOY_11_2025,3,BENOA,2025-06-30 03:00:00,6.0,BIMA
KM AWU,VOY_11_2025,4,BIMA,2025-07-01 06:00:00,2.0,WAINGAPU
KM AWU,VOY_11_2025,5,WAINGAPU,2025-07-01 22:00:00,3.0,ENDE
KM AWU,VOY_11_2025,6,ENDE,2025-07-02 10:00:00,2.0,KUPANG
KM AWU,VOY_11_2025,7,KUPANG,2025-07-03 01:00:00,5.0,KALABAHI
KM AWU,VOY_11_2025,8,KALABAHI,2025-07-03 19:00:00,3.0,KUPANG
KM AWU,VOY_11_2025,9,KUPANG,2025-07-04 11:00:00,5.0,ENDE
KM AWU,VOY_11_2025,10,ENDE,2025-07-05 05:00:00,2.0,WAINGAPU
KM AWU,VOY_11_2025,11,WAINGAPU,2025-07-05 16:00:00,3.0,BIMA
KM AWU,VOY_11_2025,12,BIMA,2025-07-06 09:00:00,2.0,BENOA
KM AWU,VOY_11_2025,13,BENOA,2025-07-07 08:00:00,3.0,SURABAYA
KM AWU,VOY_11_2025,14,SURABAYA,2025-07-08 15:00:00,7.0,KUMAI
KM AWU,VOY_11_2025,15,KUMAI,2025-07-10 03:00:00,0.0,
KM AWU,VOY_13_2025,1,KUMAI,2025-07-24 03:00:00,34.0,SURABAYA
KM AWU,VOY_13_2025,2,SURABAYA,2025-07-26 17:00:00,7.0,BENOA
KM AWU,VOY_13_2025,3,BENOA,2025-07-28 03:00:00,6.0,BIMA
KM AWU,VOY_13_2025,4,BIMA,2025-07-29 06:00:00,2.0,WAINGAPU
KM AWU,VOY_13_2025,5,WAINGAPU,2025-07-29 22:00:00,3.0,ENDE
KM AWU,VOY_13_2025,6,ENDE,2025-07-30 10:00:00,2.0,KUPANG
KM AWU,VOY_13_2025,7,KUPANG,2025-07-31 01:00:00,5.0,KALABAHI
KM AWU,VOY_13_2025,8,KALABAHI,2025-07-31 19:00:00,3.0,KUPANG
KM AWU,VOY_13_2025,9,KUPANG,2025-08-01 11:00:00,5.0,ENDE
KM AWU,VOY_13_2025,10,ENDE,2025-08-02 05:00:00,2.0,WAINGAPU
KM AWU,VOY_13_2025,11,WAINGAPU,2025-08-02 16:00:00,3.0,BIMA
KM AWU,VOY_13_2025,12,BIMA,2025-08-03 09:00:00,2.0,BENOA
KM AWU,VOY_13_2025,13,BENOA,2025-08-04 08:00:00,3.0,SURABAYA
KM AWU,VOY_13_2025,14,SURABAYA,2025-08-05 15:00:00,7.0,KUMAI
KM AWU,VOY_13_2025,15,KUMAI,2025-08-07 03:00:00,0.0,
KM KELUD,VOY_26_2025,1,TANJUNG PRIOK,2025-07-04 04:00:00,17.0,BATAM
KM KELUD,VOY_26_2025,2,BATAM,2025-07-06 05:00:00,5.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_26_2025,3,TANJUNG BALAI KARIMUN,2025-07-06 13:00:00,1.0,BELAWAN
