Ship_Name,Voyage_ID,Leg_Sequence,Port_Name,ETA_Planned,Service_Time_Hours,Next_Port
KM AWU,VOY_07_2025,1,KUMAI,2025-05-02 13:00:00,26.0,SURABAYA
KM AWU,VOY_07_2025,2,SURABAYA,2025-05-04 18:00:00,6.0,BENOA
KM AWU,VOY_07_2025,3,BENOA,2025-05-06 03:00:00,6.0,BIMA
KM AWU,VOY_07_2025,4,BIMA,2025-05-07 06:00:00,2.0,WAINGAPU
KM AWU,VOY_07_2025,5,WAINGAPU,2025-05-07 22:00:00,3.0,ENDE
KM AWU,VOY_07_2025,6,ENDE,2025-05-08 10:00:00,2.0,KUPANG
KM AWU,VOY_07_2025,7,KUPANG,2025-05-09 01:00:00,4.0,KALABAHI
KM AWU,VOY_07_2025,8,KALABAHI,2025-05-09 18:00:00,11.0,KUPANG
KM AWU,VOY_07_2025,9,KUPANG,2025-05-10 18:00:00,4.0,ENDE
KM AWU,VOY_07_2025,10,ENDE,2025-05-11 11:00:00,2.0,WAINGAPU
KM AWU,VOY_07_2025,11,WAINGAPU,2025-05-11 22:00:00,3.0,BIMA
KM AWU,VOY_07_2025,12,BIMA,2025-05-12 15:00:00,2.0,BENOA
KM AWU,VOY_07_2025,13,BENOA,2025-05-13 14:00:00,4.0,SURABAYA
KM AWU,VOY_07_2025,14,SURABAYA,2025-05-14 22:00:00,4.0,KUMAI
KM AWU,VOY_07_2025,15,KUMAI,2025-05-16 06:00:00,0.0,
KM AWU,VOY_08_2025,1,KUMAI,2025-05-16 06:00:00,9.0,SURABAYA
KM AWU,VOY_08_2025,2,SURABAYA,2025-05-17 18:00:00,7.0,BENOA
KM AWU,VOY_08_2025,3,BENOA,2025-05-19 04:00:00,6.0,BIMA
KM AWU,VOY_08_2025,4,BIMA,2025-05-20 07:00:00,2.0,WAINGAPU
KM AWU,VOY_08_2025,5,WAINGAPU,2025-05-20 23:00:00,3.0,ENDE
KM AWU,VOY_08_2025,6,ENDE,2025-05-21 11:00:00,2.0,KUPANG
KM AWU,VOY_08_2025,7,KUPANG,2025-05-22 02:00:00,4.0,KALABAHI
KM AWU,VOY_08_2025,8,KALABAHI,2025-05-22 19:00:00,10.0,KUPANG
KM AWU,VOY_08_2025,9,KUPANG,2025-05-23 18:00:00,4.0,ENDE
KM AWU,VOY_08_2025,10,ENDE,2025-05-24 11:00:00,2.0,WAINGAPU
KM AWU,VOY_08_2025,11,WAINGAPU,2025-05-24 22:00:00,3.0,BIMA
KM AWU,VOY_08_2025,12,BIMA,2025-05-25 15:00:00,2.0,BENOA
KM AWU,VOY_08_2025,13,BENOA,2025-05-26 14:00:00,5.0,SURABAYA
KM AWU,VOY_08_2025,14,SURABAYA,2025-05-27 23:00:00,4.0,KUMAI
KM AWU,VOY_08_2025,15,KUMAI,2025-05-29 07:00:00,0.0,
KM KELUD,VOY_17_2025,1,TANJUNG PRIOK,2025-05-01 06:00:00,33.0,BATAM
KM KELUD,VOY_17_2025,2,BATAM,2025-05-03 23:00:00,5.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_17_2025,3,TANJUNG BALAI KARIMUN,2025-05-04 07:00:00,1.0,BELAWAN
KM KELUD,VOY_17_2025,4,BELAWAN,2025-05-05 06:00:00,25.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_17_2025,5,TANJUNG BALAI KARIMUN,2025-05-07 05:00:00,1.0,BATAM
