Ship_Name,Voyage_ID,Leg_Sequence,Port_Name,ETA_Planned,Service_Time_Hours,Next_Port
KM AWU,VOY_09_2025,1,KUMAI,2025-05-29 07:00:00,32.0,SURABAYA
KM AWU,VOY_09_2025,2,SURABAYA,2025-05-31 18:00:00,7.0,BENOA
KM AWU,VOY_09_2025,3,BENOA,2025-06-02 04:00:00,6.0,BIMA
KM AWU,VOY_09_2025,4,BIMA,2025-06-03 07:00:00,2.0,WAINGAPU
KM AWU,VOY_09_2025,5,WAINGAPU,2025-06-03 23:00:00,3.0,ENDE
KM AWU,VOY_09_2025,6,ENDE,2025-06-04 11:00:00,2.0,KUPANG
KM AWU,VOY_09_2025,7,KUPANG,2025-06-05 02:00:00,5.0,KALABAHI
KM AWU,VOY_09_2025,8,KALABAHI,2025-06-05 20:00:00,3.0,KUPANG
KM AWU,VOY_09_2025,9,KUPANG,2025-06-06 12:00:00,5.0,ENDE
KM AWU,VOY_09_2025,10,ENDE,2025-06-07 06:00:00,2.0,WAINGAPU
KM AWU,VOY_09_2025,11,WAINGAPU,2025-06-07 17:00:00,3.0,BIMA
KM AWU,VOY_09_2025,12,BIMA,2025-06-08 10:00:00,2.0,BENOA
KM AWU,VOY_09_2025,13,BENOA,2025-06-09 09:00:00,4.0,SURABAYA
KM AWU,VOY_09_2025,14,SURABAYA,2025-06-10 17:00:00,4.0,KUMAI
KM AWU,VOY_09_2025,15,KUMAI,2025-06-12 01:00:00,0.0,
KM AWU,VOY_10_2025,1,KUMAI,2025-06-12 03:00:00,35.0,SURABAYA
KM AWU,VOY_10_2025,2,SURABAYA,2025-06-14 18:00:00,7.0,BENOA
KM AWU,VOY_10_2025,3,BENOA,2025-06-16 04:00:00,6.0,BIMA
KM AWU,VOY_10_2025,4,BIMA,2025-06-17 07:00:00,2.0,WAINGAPU
KM AWU,VOY_10_2025,5,WAINGAPU,2025-06-17 23:00:00,3.0,ENDE
KM AWU,VOY_10_2025,6,ENDE,2025-06-18 11:00:00,2.0,KUPANG
KM AWU,VOY_10_2025,7,KUPANG,2025-06-19 02:00:00,5.0,KALABAHI
KM AWU,VOY_10_2025,8,KALABAHI,2025-06-19 20:00:00,4.0,KUPANG
KM AWU,VOY_10_2025,9,KUPANG,2025-06-20 13:00:00,5.0,ENDE
KM AWU,VOY_10_2025,10,ENDE,2025-06-21 07:00:00,2.0,WAINGAPU
KM AWU,VOY_10_2025,11,WAINGAPU,2025-06-21 18:00:00,3.0,BIMA
KM AWU,VOY_10_2025,12,BIMA,2025-06-22 11:00:00,2.0,BENOA
KM AWU,VOY_10_2025,13,BENOA,2025-06-23 10:00:00,5.0,SURABAYA
KM AWU,VOY_10_2025,14,SURABAYA,2025-06-24 19:00:00,4.0,KUMAI
KM AWU,VOY_10_2025,15,KUMAI,2025-06-26 03:00:00,0.0,
KM KELUD,VOY_21_2025,1,TANJUNG PRIOK,2025-05-30 04:00:00,17.0,BATAM
KM KELUD,VOY_21_2025,2,BATAM,2025-06-01 05:00:00,5.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_21_2025,3,TANJUNG BALAI KARIMUN,2025-06-01 13:00:00,1.0,BELAWAN
KM KELUD,VOY_21_2025,4,BELAWAN,2025-06-02 13:00:00,24.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_21_2025,5,TANJUNG BALAI KARIMUN,2025-06-04 12:00:00,1.0,BATAM
KM KELUD,VOY_21_2025,6,BATAM,2025-06-04 16:00:00,4.0,TANJUNG PRIOK
KM KELUD,VOY_21_2025,7,TANJUNG PRIOK,2025-06-06 04:00:00,0.0,
KM KELUD,VOY_22_2025,1,TANJUNG PRIOK,2025-06-06 04:00:00,17.0,BATAM
KM KELUD,VOY_22_2025,2,BATAM,2025-06-08 05:00:00,5.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_22_2025,3,TANJUNG BALAI KARIMUN,2025-06-08 13:00:00,1.0,BELAWAN
KM KELUD,VOY_22_2025,4,BELAWAN,2025-06-09 13:00:00,24.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_22_2025,5,TANJUNG BALAI KARIMUN,2025-06-11 12:00:00,1.0,BATAM
KM KELUD,VOY_22_2025,6,BATAM,2025-06-11 16:00:00,4.0,TANJUNG PRIOK
KM KELUD,VOY_22_2025,7,TANJUNG PRIOK,2025-06-13 04:00:00,0.0,
KM KELUD,VOY_23_2025,1,TANJUNG PRIOK,2025-06-13 04:00:00,16.0,BATAM
KM KELUD,VOY_23_2025,2,BATAM,2025-06-15 04:00:00,6.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_23_2025,3,TANJUNG BALAI KARIMUN,2025-06-15 13:00:00,1.0,BELAWAN
KM KELUD,VOY_23_2025,4,BELAWAN,2025-06-16 13:00:00,24.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_23_2025,5,TANJUNG BALAI KARIMUN,2025-06-18 12:00:00,1.0,BATAM
KM KELUD,VOY_23_2025,6,BATAM,2025-06-18 16:00:00,4.0,TANJUNG PRIOK
KM KELUD,VOY_23_2025,7,TANJUNG PRIOK,2025-06-20 04:00:00,0.0,
KM KELUD,VOY_24_2025,1,TANJUNG PRIOK,2025-06-20 04:00:00,17.0,BATAM
KM KELUD,VOY_24_2025,2,BATAM,2025-06-22 05:00:00,5.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_24_2025,3,TANJUNG BALAI KARIMUN,2025-06-22 13:00:00,1.0,BELAWAN
