Ship_Name,Voyage_ID,Leg_Sequence,Port_Name,ETA_Planned,Service_Time_Hours,Next_Port
KM KELUD,VOY_05_2025,1,TANJUNG PRIOK,2025-01-30 18:00:00,27.0,BATAM
KM KELUD,VOY_05_2025,2,BATAM,2025-02-02 04:00:00,5.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_05_2025,3,TANJUNG BALAI KARIMUN,2025-02-02 12:00:00,1.0,BELAWAN
KM KELUD,VOY_05_2025,4,BELAWAN,2025-02-03 11:00:00,25.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_05_2025,5,TANJUNG BALAI KARIMUN,2025-02-05 10:00:00,1.0,BATAM
KM KELUD,VOY_05_2025,6,BATAM,2025-02-05 14:00:00,3.0,TANJUNG PRIOK
KM KELUD,VOY_05_2025,7,TANJUNG PRIOK,2025-02-06 23:00:00,0.0,
KM KELUD,VOY_06_2025,1,TANJUNG PRIOK,2025-02-06 23:00:00,22.0,BATAM
KM KELUD,VOY_06_2025,2,BATAM,2025-02-09 04:00:00,5.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_06_2025,3,TANJUNG BALAI KARIMUN,2025-02-09 12:00:00,1.0,BELAWAN
KM KELUD,VOY_06_2025,4,BELAWAN,2025-02-10 11:00:00,20.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_06_2025,5,TANJUNG BALAI KARIMUN,2025-02-12 05:00:00,1.0,BATAM
KM KELUD,VOY_06_2025,6,BATAM,2025-02-12 09:00:00,3.0,TANJUNG PRIOK
KM KELUD,VOY_06_2025,7,TANJUNG PRIOK,2025-02-13 18:00:00,0.0,
KM KELUD,VOY_07_2025,1,TANJUNG PRIOK,2025-02-13 18:00:00,27.0,BATAM
KM KELUD,VOY_07_2025,2,BATAM,2025-02-16 04:00:00,5.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_07_2025,3,TANJUNG BALAI KARIMUN,2025-02-16 12:00:00,1.0,BELAWAN
KM KELUD,VOY_07_2025,4,BELAWAN,2025-02-17 11:00:00,23.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_07_2025,5,TANJUNG BALAI KARIMUN,2025-02-19 08:00:00,1.0,BATAM
KM KELUD,VOY_07_2025,6,BATAM,2025-02-19 12:00:00,3.0,TANJUNG PRIOK
KM KELUD,VOY_07_2025,7,TANJUNG PRIOK,2025-02-20 21:00:00,0.0,
KM KELUD,VOY_08_2025,1,TANJUNG PRIOK,2025-02-20 21:00:00,23.0,BATAM
KM KELUD,VOY_08_2025,2,BATAM,2025-02-23 03:00:00,5.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_08_2025,3,TANJUNG BALAI KARIMUN,2025-02-23 11:00:00,1.0,BELAWAN
KM KELUD,VOY_08_2025,4,BELAWAN,2025-02-24 10:00:00,21.0,TANJUNG BALAI KARIMUN
KM KELUD,VOY_08_2025,5,TANJUNG BALAI KARIMUN,2025-02-26 05:00:00,1.0,BATAM
