Ship_Name,Port_Name,ETA_Planned,Optimized_Priority,Queue_Time,Actual_Arrival,Actual_Berth,Actual_Departure,Delay_Hours,Waiting_Time_Hours
KM TILONGKABILA,BENOA,2025-03-27 18:00:00,0.5076801871485861,2025-03-27 05:48:56.431830363,2025-03-27 18:00:00,2025-03-27 18:00:00,2025-03-28 11:00:00,0.0,0.0
KM TIDAR,KIJANG,2025-03-28 09:00:00,0.4029672999921799,2025-03-27 23:19:43.625280677,2025-03-28 09:00:00,2025-03-28 09:00:00,2025-03-28 13:00:00,0.0,0.0
KM PANGRANGO,AMBON,2025-03-28 12:00:00,0.3544337228691425,2025-03-28 03:29:36.926344108,2025-03-28 12:00:00,2025-03-28 12:00:00,2025-03-28 16:00:00,0.0,0.0
KM SINABUNG,SURABAYA,2025-03-28 23:00:00,0.6502148295001369,2025-03-28 07:23:41.438731190,2025-03-28 23:00:00,2025-03-28 23:00:00,2025-03-29 13:00:00,0.0,0.0
KM TILONGKABILA,LEMBAR,2025-03-28 17:00:00,0.3541725564185892,2025-03-28 08:29:59.491125435,2025-03-28 17:00:00,2025-03-28 17:00:00,2025-03-28 19:00:00,0.0,0.0
KM LABOBAR,TANJUNG PRIOK,2025-03-29 04:00:00,0.6601683750359872,2025-03-28 12:09:21.452396890,2025-03-29 04:00:00,2025-03-29 04:00:00,2025-03-30 04:00:00,0.0,0.0
KM PANGRANGO,BANDA,2025-03-29 06:00:00,0.3276432422353917,2025-03-28 22:08:11.623870864,2025-03-29 06:00:00,2025-03-29 06:00:00,2025-03-30 16:00:00,0.0,0.0
KM TILONGKABILA,BIMA,2025-03-29 13:00:00,0.5243829138354604,2025-03-29 00:24:53.316244617,2025-03-29 13:00:00,2025-03-29 13:00:00,2025-03-29 16:00:00,0.0,0.0
KM KELIMUTU,SEMARANG,2025-03-29 19:00:00,0.6948642312797374,2025-03-29 02:19:23.730417430,2025-03-29 19:00:00,2025-03-29 19:00:00,2025-04-02 18:00:00,0.0,0.0
KM JETLINER,KENDARI,2025-03-29 21:00:00,0.6801894149151719,2025-03-29 04:40:31.634551330,2025-03-29 21:00:00,2025-03-29 21:00:00,2025-03-30 07:00:00,0.0,0.0
KM TILONGKABILA,LABUAN BAJO,2025-03-29 23:00:00,0.5994731862447555,2025-03-29 08:36:45.516708454,2025-03-29 23:00:00,2025-03-29 23:00:00,2025-03-30 01:00:00,0.0,0.0
KM TIDAR,TANJUNG PRIOK,2025-03-30 01:00:00,0.6010453310561157,2025-03-29 10:34:29.683396751,2025-03-30 01:00:00,2025-03-30 04:00:00,2025-03-30 19:00:00,3.0,3.0
KM BINAIYA,SURABAYA,2025-03-30 00:00:00,0.524573509694118,2025-03-29 11:24:36.848762428,2025-03-30 00:00:00,2025-03-30 00:00:00,2025-03-30 08:00:00,0.0,0.0
KM NGGAPULU,TANJUNG PRIOK,2025-03-30 07:00:00,0.5442886311171583,2025-03-29 17:56:13.462271477,2025-03-30 07:00:00,2025-03-30 19:00:00,2025-03-31 10:00:00,12.0,12.0
KM LEUSER,SURABAYA,2025-03-30 14:00:00,0.6581276329523384,2025-03-29 22:12:17.772512919,2025-03-30 14:00:00,2025-03-30 14:00:00,2025-04-02 00:00:00,0.0,0.0
KM SANGIANG,BITUNG,2025-03-30 17:00:00,0.6316851675397988,2025-03-30 01:50:22.401524562,2025-03-30 17:00:00,2025-03-30 17:00:00,2025-04-01 16:00:00,0.0,0.0
KM TILONGKABILA,MAKASSAR,2025-03-30 19:00:00,0.3631892176099387,2025-03-30 10:17:00.451598500,2025-03-30 19:00:00,2025-03-30 19:00:00,2025-03-30 23:00:00,0.0,0.0
KM JETLINER,WANCI,2025-03-30 20:00:00,0.3949238559778935,2025-03-30 10:31:18.578843512,2025-03-30 20:00:00,2025-03-30 20:00:00,2025-03-30 22:00:00,0.0,0.0
KM SINABUNG,MAKASSAR,2025-03-30 20:00:00,0.3055096314975846,2025-03-30 12:40:03.967838609,2025-03-30 20:00:00,2025-03-30 23:00:00,2025-03-31 03:00:00,3.0,3.0
KM LABOBAR,SURABAYA,2025-03-31 06:00:00,0.6658296191671281,2025-03-30 14:01:12.320903961,2025-03-31 06:00:00,2025-04-02 00:00:00,2025-04-02 05:00:00,42.0,42.0
KM PANGRANGO,AMBON,2025-03-31 06:00:00,0.5907271095447211,2025-03-30 15:49:21.177735338,2025-03-31 06:00:00,2025-03-31 06:00:00,2025-03-31 20:00:00,0.0,0.0
KM JETLINER,KENDARI,2025-03-31 11:00:00,0.3639269549745916,2025-03-31 02:15:56.711090196,2025-03-31 11:00:00,2025-03-31 11:00:00,2025-03-31 17:00:00,0.0,0.0
KM TILONGKABILA,BAU-BAU,2025-03-31 20:00:00,0.637894021587611,2025-03-31 04:41:25.956534830,2025-03-31 20:00:00,2025-03-31 20:00:00,2025-03-31 22:00:00,0.0,0.0
KM BINAIYA,BATULICIN,2025-03-31 16:00:00,0.4390227588229773,2025-03-31 05:27:48.433637697,2025-03-31 16:00:00,2025-03-31 16:00:00,2025-03-31 21:00:00,0.0,0.0
KM TIDAR,SURABAYA,2025-03-31 21:00:00,0.6471394636486036,2025-03-31 05:28:07.150340763,2025-03-31 21:00:00,2025-04-02 05:00:00,2025-04-02 08:00:00,32.0,32.0
KM SINABUNG,BAU-BAU,2025-03-31 17:00:00,0.4049155453831422,2025-03-31 07:16:55.296878898,2025-03-31 17:00:00,2025-03-31 22:00:00,2025-04-01 01:00:00,5.0,5.0
KM NGGAPULU,SURABAYA,2025-04-01 00:00:00,0.660460263235543,2025-03-31 08:08:56.233256450,2025-04-01 00:00:00,2025-04-02 08:00:00,2025-04-02 12:00:00,32.0,32.0
KM TILONGKABILA,RAHA,2025-04-01 02:00:00,0.5066389763165128,2025-03-31 13:50:26.392446255,2025-04-01 02:00:00,2025-04-01 02:00:00,2025-04-01 04:00:00,0.0,0.0
KM JETLINER,WANCI,2025-04-01 06:00:00,0.5529777729833448,2025-03-31 16:43:42.720414240,2025-04-01 06:00:00,2025-04-01 06:00:00,2025-04-01 08:00:00,0.0,0.0
KM PANGRANGO,NAMROLE,2025-04-01 06:00:00,0.4704275856323938,2025-03-31 18:42:35.056601363,2025-04-01 06:00:00,2025-04-01 06:00:00,2025-04-01 08:00:00,0.0,0.0
KM TILONGKABILA,KENDARI,2025-04-01 10:00:00,0.4705387072934605,2025-03-31 22:42:25.455689846,2025-04-01 10:00:00,2025-04-01 10:00:00,2025-04-01 14:00:00,0.0,0.0
KM LABOBAR,MAKASSAR,2025-04-01 16:00:00,0.6508531225804132,2025-04-01 00:22:46.290209052,2025-04-02 05:00:00,2025-04-02 05:00:00,2025-04-02 08:00:00,13.0,0.0
KM LAWIT,KUMAI,2025-04-01 14:00:00,0.5332455853678373,2025-04-01 01:12:07.581424220,2025-04-01 14:00:00,2025-04-01 14:00:00,2025-04-01 17:00:00,0.0,0.0
KM TATAMAILAU,BITUNG,2025-04-01 11:00:00,0.3379475414745495,2025-04-01 02:53:21.332416600,2025-04-01 11:00:00,2025-04-01 16:00:00,2025-04-02 07:00:00,5.0,5.0
KM JETLINER,KENDARI,2025-04-01 21:00:00,0.6337594937659101,2025-04-01 05:47:23.179738625,2025-04-01 21:00:00,2025-04-01 21:00:00,2025-04-01 23:00:00,0.0,0.0
