NAMA_KAPAL,VOYAGE,PELABUHAN,ETA_HARI,ETA_TANGGAL,ETA_JAM,ETD_HARI,ETD_TANGGAL,ETD_JAM
KM. CIREMAI,01.2025,Sorong,Sabtu,4-Jan-25,20:00,Sabtu,4-Jan-25,23:00
KM. CIREMAI,01.2025,Serui,Minggu,5-Jan-25,22:00,Minggu,5-Jan-25,23:59
KM. CIREMAI,01.2025,Jayapura,Senin,6-Jan-25,20:00,Selasa,7-Jan-25,01:00
KM. CIREMAI,01.2025,Serui,Selasa,7-Jan-25,23:00,Rabu,8-Jan-25,01:00
KM. CIREMAI,01.2025,Sorong,Kamis,9-Jan-25,01:00,Kamis,9-Jan-25,04:00
KM. CIREMAI,01.2025,Serui,Jum'at,10-Jan-25,03:00,Jum'at,10-Jan-25,05:00
KM. CIREMAI,01.2025,Jayapura,Sabtu,11-Jan-25,01:00,Sabtu,11-Jan-25,06:00
KM. CIREMAI,01.2025,Serui,Minggu,12-Jan-25,04:00,Minggu,12-Jan-25,06:00
KM. CIREMAI,01.2025,Sorong,Senin,13-Jan-25,07:00,Senin,13-Jan-25,10:00
KM. CIREMAI,01.2025,Ambon,Selasa,14-Jan-25,10:00,Selasa,14-Jan-25,13:00
KM. CIREMAI,01.2025,Bau-Bau,Rabu,15-Jan-25,16:00,Rabu,15-Jan-25,19:00
KM. CIREMAI,01.2025,Makassar,Kamis,16-Jan-25,12:00,Kamis,16-Jan-25,15:00
KM. CIREMAI,01.2025,Surabaya,Jum'at,17-Jan-25,22:00,Jum'at,17-Jan-25,23:59
KM. CIREMAI,01.2025,Tg.Priok,Minggu,19-Jan-25,03:00,,,
KM. CIREMAI,02.2025,Tg.Priok,Minggu,19-Jan-25,03:00,Minggu,19-Jan-25,22:00
KM. CIREMAI,02.2025,Surabaya,Selasa,21-Jan-25,03:00,Selasa,21-Jan-25,07:00
KM. CIREMAI,02.2025,Makassar,Rabu,22-Jan-25,13:00,Rabu,22-Jan-25,17:00
KM. CIREMAI,02.2025,Bau-Bau,Kamis,23-Jan-25,09:00,Kamis,23-Jan-25,11:00
KM. CIREMAI,02.2025,Ambon,Jum'at,24-Jan-25,13:00,Jum'at,24-Jan-25,16:00
KM. CIREMAI,02.2025,Sorong,Sabtu,25-Jan-25,14:00,Sabtu,25-Jan-25,16:00
KM. CIREMAI,02.2025,Serui,Minggu,26-Jan-25,16:00,Minggu,26-Jan-25,18:00
KM. CIREMAI,02.2025,Jayapura,Senin,27-Jan-25,14:00,Senin,27-Jan-25,19:00
KM. CIREMAI,02.2025,Serui,Selasa,28-Jan-25,17:00,Selasa,28-Jan-25,19:00
KM. CIREMAI,02.2025,Sorong,Rabu,29-Jan-25,18:00,Rabu,29-Jan-25,21:00
KM. CIREMAI,02.2025,Ambon,Kamis,30-Jan-25,20:00,Kamis,30-Jan-25,23:00
KM. CIREMAI,02.2025,Bau-Bau,Sabtu,1-Feb-25,02:00,Sabtu,1-Feb-25,04:00
KM. CIREMAI,02.2025,Makassar,Sabtu,1-Feb-25,21:00,Sabtu,1-Feb-25,23:59
KM. CIREMAI,02.2025,Surabaya,Senin,3-Feb-25,06:00,Senin,3-Feb-25,08:00
KM. CIREMAI,02.2025,Tg.Priok,Selasa,4-Feb-25,12:00,,,
KM. DOROLONDA,01.2025,Surabaya,Rabu,8-Jan-25,04:00,Rabu,8-Jan-25,13:00
