Ship,Port,Planned_ETA,Actual_RTA,Actual_ETD,Delay_Hours
KM TILONGKABILA,BENOA,2025-03-27 18:00:00,2025-03-27 18:00:00,2025-03-28 11:00:00,0.0
KM TIDAR,KIJANG,2025-03-28 09:00:00,2025-03-28 09:00:00,2025-03-28 13:00:00,0.0
KM PANGRANGO,AMBON,2025-03-28 12:00:00,2025-03-28 12:00:00,2025-03-28 16:00:00,0.0
KM TILONGKABILA,LEMBAR,2025-03-28 17:00:00,2025-03-28 17:00:00,2025-03-28 19:00:00,0.0
KM SINABUNG,SURABAYA,2025-03-28 23:00:00,2025-03-28 23:00:00,2025-03-29 13:00:00,0.0
KM LABOBAR,TANJUNG PRIOK,2025-03-29 04:00:00,2025-03-29 04:00:00,2025-03-30 04:00:00,0.0
KM PANGRANGO,BANDA,2025-03-29 06:00:00,2025-03-29 06:00:00,2025-03-30 16:00:00,0.0
KM TILONGKABILA,BIMA,2025-03-29 13:00:00,2025-03-29 13:00:00,2025-03-29 16:00:00,0.0
KM KELIMUTU,SEMARANG,2025-03-29 19:00:00,2025-03-29 19:00:00,2025-04-02 18:00:00,0.0
KM JETLINER,KENDARI,2025-03-29 21:00:00,2025-03-29 21:00:00,2025-03-30 07:00:00,0.0
KM TILONGKABILA,LABUAN BAJO,2025-03-29 23:00:00,2025-03-29 23:00:00,2025-03-30 01:00:00,0.0
KM BINAIYA,SURABAYA,2025-03-30 00:00:00,2025-03-30 00:00:00,2025-03-30 08:00:00,0.0
KM TIDAR,TANJUNG PRIOK,2025-03-30 01:00:00,2025-03-30 04:00:00,2025-03-30 19:00:00,3.0
KM NGGAPULU,TANJUNG PRIOK,2025-03-30 07:00:00,2025-03-30 19:00:00,2025-03-31 10:00:00,12.0
KM LEUSER,SURABAYA,2025-03-30 14:00:00,2025-03-30 14:00:00,2025-04-02 00:00:00,0.0
KM SANGIANG,BITUNG,2025-03-30 17:00:00,2025-03-30 17:00:00,2025-04-01 16:00:00,0.0
KM TILONGKABILA,MAKASSAR,2025-03-30 19:00:00,2025-03-30 19:00:00,2025-03-30 23:00:00,0.0
KM SINABUNG,MAKASSAR,2025-03-30 20:00:00,2025-03-30 23:00:00,2025-03-31 03:00:00,3.0
KM JETLINER,WANCI,2025-03-30 20:00:00,2025-03-30 20:00:00,2025-03-30 22:00:00,0.0
KM LABOBAR,SURABAYA,2025-03-31 06:00:00,2025-04-02 00:00:00,2025-04-02 05:00:00,42.0
KM PANGRANGO,AMBON,2025-03-31 06:00:00,2025-03-31 06:00:00,2025-03-31 20:00:00,0.0
KM JETLINER,KENDARI,2025-03-31 11:00:00,2025-03-31 11:00:00,2025-03-31 17:00:00,0.0
KM BINAIYA,BATULICIN,2025-03-31 16:00:00,2025-03-31 16:00:00,2025-03-31 21:00:00,0.0
KM SINABUNG,BAU-BAU,2025-03-31 17:00:00,2025-03-31 17:00:00,2025-03-31 20:00:00,0.0
KM TILONGKABILA,BAU-BAU,2025-03-31 20:00:00,2025-03-31 20:00:00,2025-03-31 22:00:00,0.0
KM TIDAR,SURABAYA,2025-03-31 21:00:00,2025-04-02 05:00:00,2025-04-02 08:00:00,32.0
