Ship,Port,Planned_ETA,Actual_RTA,Actual_ETD,Delay_Hours
KM NGGAPULU,SURABAYA,2025-04-01 00:00:00,2025-04-02 08:00:00,2025-04-02 12:00:00,32.0
KM TILONGKABILA,RAHA,2025-04-01 02:00:00,2025-04-01 02:00:00,2025-04-01 04:00:00,0.0
KM JETLINER,WANCI,2025-04-01 06:00:00,2025-04-01 06:00:00,2025-04-01 08:00:00,0.0
KM PANGRANGO,NAMROLE,2025-04-01 06:00:00,2025-04-01 06:00:00,2025-04-01 08:00:00,0.0
KM TILONGKABILA,KENDARI,2025-04-01 10:00:00,2025-04-01 10:00:00,2025-04-01 14:00:00,0.0
KM TATAMAILAU,BITUNG,2025-04-01 11:00:00,2025-04-01 16:00:00,2025-04-02 07:00:00,5.0
KM LAWIT,KUMAI,2025-04-01 14:00:00,2025-04-01 14:00:00,2025-04-01 17:00:00,0.0
KM LABOBAR,MAKASSAR,2025-04-01 16:00:00,2025-04-02 05:00:00,2025-04-02 08:00:00,0.0
KM PANGRANGO,AMBON,2025-04-01 18:00:00,2025-04-01 18:00:00,2025-04-02 00:00:00,0.0
KM JETLINER,KENDARI,2025-04-01 21:00:00,2025-04-01 21:00:00,2025-04-01 23:00:00,0.0
KM BINAIYA,MAKASSAR,2025-04-01 21:00:00,2025-04-02 08:00:00,2025-04-02 18:00:00,11.0
KM SINABUNG,AMBON,2025-04-01 23:00:00,2025-04-02 00:00:00,2025-04-02 04:00:00,1.0
KM TILONGKABILA,LUWUK,2025-04-02 07:00:00,2025-04-02 07:00:00,2025-04-02 10:00:00,0.0
KM TIDAR,MAKASSAR,2025-04-02 07:00:00,2025-04-02 18:00:00,2025-04-02 21:00:00,10.0
KM JETLINER,RAHA,2025-04-02 07:00:00,2025-04-02 07:00:00,2025-04-02 08:00:00,0.0
KM NGGAPULU,MAKASSAR,2025-04-02 11:00:00,2025-04-02 21:00:00,2025-04-03 00:00:00,9.0
KM LABOBAR,BAU-BAU,2025-04-02 11:00:00,2025-04-02 11:00:00,2025-04-02 13:00:00,0.0
KM SANGIANG,TERNATE,2025-04-02 13:00:00,2025-04-02 13:00:00,2025-04-02 16:00:00,0.0
KM PANGRANGO,BANDA,2025-04-02 14:00:00,2025-04-02 14:00:00,2025-04-02 16:00:00,0.0
KM JETLINER,KENDARI,2025-04-02 16:00:00,2025-04-02 16:00:00,2025-04-02 18:00:00,0.0
KM TATAMAILAU,TERNATE,2025-04-02 16:00:00,2025-04-02 16:00:00,2025-04-02 17:00:00,0.0
KM LAWIT,SEMARANG,2025-04-02 18:00:00,2025-04-02 18:00:00,2025-04-03 02:00:00,0.0
KM SIRIMAU,SORONG,2025-04-02 18:00:00,2025-04-02 18:00:00,2025-04-03 03:00:00,0.0
KM TILONGKABILA,GORONTALO,2025-04-02 21:00:00,2025-04-02 21:00:00,2025-04-02 23:00:00,0.0
KM EGON,WAINGAPU,2025-04-02 22:00:00,2025-04-02 22:00:00,2025-04-03 05:00:00,0.0
KM TIDAR,BAU-BAU,2025-04-03 02:00:00,2025-04-03 02:00:00,2025-04-03 05:00:00,0.0
KM SINABUNG,SORONG,2025-04-03 03:00:00,2025-04-03 03:00:00,2025-04-03 06:00:00,0.0
KM BINAIYA,BIMA,2025-04-03 04:00:00,2025-04-03 04:00:00,2025-04-03 06:00:00,0.0
KM LEUSER,KUMAI,2025-04-03 04:00:00,2025-04-03 04:00:00,2025-04-03 07:00:00,0.0
KM SANGIANG,BACAN,2025-04-03 05:00:00,2025-04-03 05:00:00,2025-04-03 07:00:00,0.0
KM NGGAPULU,BAU-BAU,2025-04-03 05:00:00,2025-04-03 05:00:00,2025-04-03 07:00:00,0.0
KM JETLINER,WANCI,2025-04-03 07:00:00,2025-04-03 07:00:00,2025-04-03 09:00:00,0.0
KM BINAIYA,LABUAN BAJO,2025-04-03 14:00:00,2025-04-03 14:00:00,2025-04-03 16:00:00,0.0
KM TILONGKABILA,BITUNG,2025-04-03 14:00:00,2025-04-03 14:00:00,2025-04-05 02:00:00,0.0
KM LABOBAR,AMBON,2025-04-03 14:00:00,2025-04-03 14:00:00,2025-04-03 17:00:00,0.0
KM KELIMUTU,KUMAI,2025-04-03 19:00:00,2025-04-03 19:00:00,2025-04-03 21:00:00,0.0
KM PANGRANGO,SAUMLAKI,2025-04-03 19:00:00,2025-04-03 19:00:00,2025-04-04 00:00:00,0.0
KM TIDAR,MAUMERE,2025-04-03 19:00:00,2025-04-03 19:00:00,2025-04-03 21:00:00,0.0
KM SINABUNG,MANOKWARI,2025-04-03 20:00:00,2025-04-03 20:00:00,2025-04-03 22:00:00,0.0
KM TATAMAILAU,AMBON,2025-04-03 21:00:00,2025-04-03 21:00:00,2025-04-03 23:00:00,0.0
KM JETLINER,KENDARI,2025-04-03 22:00:00,2025-04-03 22:00:00,2025-04-04 17:00:00,0.0
KM LABOBAR,BANDA,2025-04-04 01:00:00,2025-04-04 01:00:00,2025-04-04 03:00:00,0.0
KM KELUD,TANJUNG PRIOK,2025-04-04 03:00:00,2025-04-04 03:00:00,2025-04-04 17:00:00,0.0
KM TIDAR,LARANTUKA,2025-04-04 03:00:00,2025-04-04 03:00:00,2025-04-04 05:00:00,0.0
KM SANGIANG,SANANA,2025-04-04 06:00:00,2025-04-04 06:00:00,2025-04-04 08:00:00,0.0
KM EGON,LEMBAR,2025-04-04 07:00:00,2025-04-04 07:00:00,2025-04-04 10:00:00,0.0
KM NGGAPULU,NAMLEA,2025-04-04 08:00:00,2025-04-04 08:00:00,2025-04-04 10:00:00,0.0
KM SINABUNG,BIAK,2025-04-04 08:00:00,2025-04-04 08:00:00,2025-04-04 10:00:00,0.0
KM TIDAR,LEWOLEBA,2025-04-04 08:00:00,2025-04-04 08:00:00,2025-04-04 10:00:00,0.0
KM LEUSER,SEMARANG,2025-04-04 08:00:00,2025-04-04 08:00:00,2025-04-04 11:00:00,0.0
KM BINAIYA,MAKASSAR,2025-04-04 11:00:00,2025-04-04 11:00:00,2025-04-04 16:00:00,0.0
KM LAWIT,SAMPIT,2025-04-04 12:00:00,2025-04-04 12:00:00,2025-04-05 09:00:00,0.0
KM SIRIMAU,AMBON,2025-04-04 13:00:00,2025-04-04 13:00:00,2025-04-04 17:00:00,0.0
KM NGGAPULU,AMBON,2025-04-04 15:00:00,2025-04-04 17:00:00,2025-04-04 21:00:00,2.0
KM LABOBAR,TUAL,2025-04-04 16:00:00,2025-04-04 16:00:00,2025-04-04 20:00:00,0.0
KM TIDAR,KUPANG,2025-04-04 18:00:00,2025-04-04 18:00:00,2025-04-04 22:00:00,0.0
KM GUNUNG DEMPO,TANJUNG PRIOK,2025-04-04 21:00:00,2025-04-04 21:00:00,2025-04-05 07:00:00,0.0
KM BINAIYA,AWERANGE,2025-04-04 22:00:00,2025-04-04 22:00:00,2025-04-05 00:00:00,0.0
KM KELIMUTU,SEMARANG,2025-04-04 22:00:00,2025-04-04 22:00:00,2025-04-05 02:00:00,0.0
KM SANGIANG,NAMLEA,2025-04-04 22:00:00,2025-04-04 22:00:00,2025-04-04 23:00:00,0.0
KM LABOBAR,DOBO,2025-04-05 03:00:00,2025-04-05 03:00:00,2025-04-05 06:00:00,0.0
KM AWU,KUMAI,2025-04-05 03:00:00,2025-04-05 03:00:00,2025-04-05 06:00:00,0.0
KM TATAMAILAU,TUAL,2025-04-05 04:00:00,2025-04-05 04:00:00,2025-04-05 07:00:00,0.0
KM PANGRANGO,BANDA,2025-04-05 05:00:00,2025-04-05 05:00:00,2025-04-05 07:00:00,0.0
KM JETLINER,WANCI,2025-04-05 06:00:00,2025-04-05 06:00:00,2025-04-05 08:00:00,0.0
KM SINABUNG,JAYAPURA,2025-04-05 07:00:00,2025-04-05 07:00:00,2025-04-05 13:00:00,0.0
KM TIDAR,LEWOLEBA,2025-04-05 07:00:00,2025-04-05 07:00:00,2025-04-05 09:00:00,0.0
KM BK SIGUNTANG,MAKASSAR,2025-04-05 07:00:00,2025-04-05 07:00:00,2025-04-06 02:00:00,0.0
KM SANGIANG,AMBON,2025-04-05 09:00:00,2025-04-05 09:00:00,2025-04-05 13:00:00,0.0
KM EGON,SURABAYA,2025-04-05 11:00:00,2025-04-05 11:00:00,2025-04-05 15:00:00,0.0
KM TIDAR,LARANTUKA,2025-04-05 12:00:00,2025-04-05 12:00:00,2025-04-05 14:00:00,0.0
KM LEUSER,KUMAI,2025-04-05 12:00:00,2025-04-05 12:00:00,2025-04-05 15:00:00,0.0
KM LABOBAR,KAIMANA,2025-04-05 15:00:00,2025-04-05 15:00:00,2025-04-05 20:00:00,0.0
KM NGGAPULU,TERNATE,2025-04-05 16:00:00,2025-04-05 16:00:00,2025-04-05 18:00:00,0.0
KM TILONGKABILA,GORONTALO,2025-04-05 17:00:00,2025-04-05 17:00:00,2025-04-05 19:00:00,0.0
KM TATAMAILAU,DOBO,2025-04-05 18:00:00,2025-04-05 18:00:00,2025-04-05 20:00:00,0.0
KM NGGAPULU,JAILOLO,2025-04-05 20:00:00,2025-04-05 20:00:00,2025-04-05 22:00:00,0.0
KM TIDAR,MAUMERE,2025-04-05 20:00:00,2025-04-05 20:00:00,2025-04-05 22:00:00,0.0
KM PANGRANGO,AMBON,2025-04-05 21:00:00,2025-04-05 21:00:00,2025-04-06 17:00:00,0.0
KM JETLINER,KENDARI,2025-04-05 21:00:00,2025-04-05 21:00:00,2025-04-06 07:00:00,0.0
KM JETLINER,KENDARI,2025-04-05 21:00:00,2025-04-06 07:00:00,2025-04-06 07:00:00,0.0
KM KELUD,BATAM,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 04:00:00,0.0
KM SIRIMAU,WANCI,2025-04-06 01:00:00,2025-04-06 01:00:00,2025-04-06 03:00:00,0.0
KM KELIMUTU,KUMAI,2025-04-06 03:00:00,2025-04-06 03:00:00,2025-04-06 11:00:00,0.0
KM BINAIYA,BONTANG,2025-04-06 03:00:00,2025-04-06 03:00:00,2025-04-06 06:00:00,0.0
KM LABOBAR,SORONG,2025-04-06 04:00:00,2025-04-06 04:00:00,2025-04-07 00:00:00,0.0
KM BK RAYA,TANJUNG PRIOK,2025-04-06 04:00:00,2025-04-06 04:00:00,2025-04-07 04:00:00,0.0
KM SANGIANG,BANDA,2025-04-06 05:00:00,2025-04-06 05:00:00,2025-04-06 07:00:00,0.0
KM LABOBAR,FAK-FAK,2025-04-06 06:00:00,2025-04-07 00:00:00,2025-04-07 03:00:00,0.0
KM TILONGKABILA,LUWUK,2025-04-06 06:00:00,2025-04-06 06:00:00,2025-04-06 08:00:00,0.0
KM GUNUNG DEMPO,SURABAYA,2025-04-06 07:00:00,2025-04-06 07:00:00,2025-04-06 12:00:00,0.0
KM BK SIGUNTANG,PARE-PARE,2025-04-06 07:00:00,2025-04-06 07:00:00,2025-04-06 11:00:00,0.0
KM AWU,SEMARANG,2025-04-06 07:00:00,2025-04-06 07:00:00,2025-04-06 16:00:00,0.0
KM KELUD,TANJUNG BALAI KARIMUN,2025-04-06 07:00:00,2025-04-06 07:00:00,2025-04-06 09:00:00,0.0
KM NGGAPULU,BITUNG,2025-04-06 08:00:00,2025-04-06 08:00:00,2025-04-06 12:00:00,0.0
KM SINABUNG,BIAK,2025-04-06 10:00:00,2025-04-06 10:00:00,2025-04-06 12:00:00,0.0
KM TIDAR,BAU-BAU,2025-04-06 11:00:00,2025-04-06 11:00:00,2025-04-06 13:00:00,0.0
KM SIRIMAU,BAU-BAU,2025-04-06 13:00:00,2025-04-06 13:00:00,2025-04-06 17:00:00,0.0
KM LAWIT,SURABAYA,2025-04-06 13:00:00,2025-04-06 13:00:00,2025-04-06 16:00:00,0.0
KM WILIS,BATULICIN,2025-04-06 15:00:00,2025-04-06 15:00:00,2025-04-08 07:00:00,0.0
KM TATAMAILAU,TIMIKA,2025-04-06 16:00:00,2025-04-06 16:00:00,2025-04-06 18:00:00,0.0
KM LEUSER,SEMARANG,2025-04-06 16:00:00,2025-04-06 16:00:00,2025-04-07 01:00:00,0.0
KM EGON,BATULICIN,2025-04-06 17:00:00,2025-04-08 07:00:00,2025-04-08 12:00:00,38.0
KM SANGIANG,GESER,2025-04-06 17:00:00,2025-04-06 17:00:00,2025-04-06 19:00:00,0.0
KM JETLINER,WANCI,2025-04-06 20:00:00,2025-04-06 20:00:00,2025-04-06 22:00:00,0.0
KM LABOBAR,MANOKWARI,2025-04-06 21:00:00,2025-04-07 03:00:00,2025-04-07 12:00:00,0.0
KM SINABUNG,MANOKWARI,2025-04-06 22:00:00,2025-04-07 12:00:00,2025-04-07 14:00:00,14.0
KM NGGAPULU,JAILOLO,2025-04-06 22:00:00,2025-04-06 22:00:00,2025-04-07 00:00:00,0.0
KM DOROLONDA,SURABAYA,2025-04-06 22:00:00,2025-04-06 22:00:00,2025-04-07 07:00:00,0.0
KM DOBONSOLO,TANJUNG PRIOK,2025-04-07 01:00:00,2025-04-07 04:00:00,2025-04-07 23:00:00,3.0
KM TILONGKABILA,KENDARI,2025-04-07 02:00:00,2025-04-07 02:00:00,2025-04-07 06:00:00,0.0
KM NGGAPULU,TERNATE,2025-04-07 02:00:00,2025-04-07 02:00:00,2025-04-07 04:00:00,0.0
KM BK SIGUNTANG,BALIKPAPAN,2025-04-07 02:00:00,2025-04-07 02:00:00,2025-04-07 04:00:00,0.0
KM LAMBELU,MAKASSAR,2025-04-07 03:00:00,2025-04-07 03:00:00,2025-04-07 11:00:00,0.0
KM TATAMAILAU,AGATS,2025-04-07 05:00:00,2025-04-07 05:00:00,2025-04-07 07:00:00,0.0
KM TIDAR,MAKASSAR,2025-04-07 07:00:00,2025-04-07 11:00:00,2025-04-07 16:00:00,4.0
KM KELUD,BELAWAN,2025-04-07 07:00:00,2025-04-07 07:00:00,2025-04-07 12:00:00,0.0
KM PANGRANGO,BANDA,2025-04-07 07:00:00,2025-04-07 07:00:00,2025-04-07 09:00:00,0.0
KM SANGIANG,FAK-FAK,2025-04-07 07:00:00,2025-04-07 07:00:00,2025-04-07 16:00:00,0.0
KM BINAIYA,PARE-PARE,2025-04-07 09:00:00,2025-04-07 09:00:00,2025-04-07 11:00:00,0.0
KM LABOBAR,NABIRE,2025-04-07 10:00:00,2025-04-07 12:00:00,2025-04-07 22:00:00,0.0
KM JETLINER,KENDARI,2025-04-07 11:00:00,2025-04-07 11:00:00,2025-04-07 17:00:00,0.0
KM KELIMUTU,SEMARANG,2025-04-07 12:00:00,2025-04-07 12:00:00,2025-04-08 00:00:00,0.0
KM TILONGKABILA,RAHA,2025-04-07 13:00:00,2025-04-07 13:00:00,2025-04-07 14:00:00,0.0
KM SIRIMAU,MAUMERE,2025-04-07 14:00:00,2025-04-07 14:00:00,2025-04-07 16:00:00,0.0
KM GUNUNG DEMPO,MAKASSAR,2025-04-07 14:00:00,2025-04-07 16:00:00,2025-04-07 19:00:00,2.0
KM SINABUNG,SORONG,2025-04-07 15:00:00,2025-04-07 15:00:00,2025-04-07 18:00:00,0.0
KM AWU,KUMAI,2025-04-07 16:00:00,2025-04-07 16:00:00,2025-04-08 04:00:00,0.0
KM LAMBELU,PARE-PARE,2025-04-07 16:00:00,2025-04-07 16:00:00,2025-04-07 19:00:00,0.0
KM TILONGKABILA,BAU-BAU,2025-04-07 19:00:00,2025-04-07 19:00:00,2025-04-07 21:00:00,0.0
KM LABOBAR,WASIOR,2025-04-07 19:00:00,2025-04-07 22:00:00,2025-04-08 03:00:00,0.0
KM LAWIT,KUMAI,2025-04-07 20:00:00,2025-04-08 04:00:00,2025-04-08 08:00:00,8.0
KM EGON,PARE-PARE,2025-04-07 21:00:00,2025-04-08 12:00:00,2025-04-08 15:00:00,0.0
KM CIREMAI,TANJUNG PRIOK,2025-04-07 23:00:00,2025-04-07 23:00:00,2025-04-08 14:00:00,0.0
KM NGGAPULU,AMBON,2025-04-08 01:00:00,2025-04-08 01:00:00,2025-04-08 04:00:00,0.0
KM SIRIMAU,LEWOLEBA,2025-04-08 02:00:00,2025-04-08 02:00:00,2025-04-08 04:00:00,0.0
KM LABOBAR,MANOKWARI,2025-04-08 04:00:00,2025-04-08 04:00:00,2025-04-08 21:00:00,0.0
KM BK SIGUNTANG,TARAKAN,2025-04-08 05:00:00,2025-04-08 05:00:00,2025-04-08 09:00:00,0.0
KM SANGIANG,GESER,2025-04-08 05:00:00,2025-04-08 05:00:00,2025-04-08 07:00:00,0.0
KM JETLINER,WANCI,2025-04-08 06:00:00,2025-04-08 06:00:00,2025-04-08 08:00:00,0.0
KM GUNUNG DEMPO,BAU-BAU,2025-04-08 07:00:00,2025-04-08 07:00:00,2025-04-08 09:00:00,0.0
KM BK RAYA,BLINYU,2025-04-08 08:00:00,2025-04-08 08:00:00,2025-04-08 09:00:00,0.0
KM NGGAPULU,NAMLEA,2025-04-08 10:00:00,2025-04-08 10:00:00,2025-04-08 12:00:00,0.0
KM DOROLONDA,BALIKPAPAN,2025-04-08 10:00:00,2025-04-08 10:00:00,2025-04-08 13:00:00,0.0
KM KELUD,BATAM,2025-04-08 10:00:00,2025-04-08 10:00:00,2025-04-08 17:00:00,0.0
KM LAMBELU,BALIKPAPAN,2025-04-08 11:00:00,2025-04-08 13:00:00,2025-04-08 15:00:00,2.0
KM PANGRANGO,SAUMLAKI,2025-04-08 12:00:00,2025-04-08 12:00:00,2025-04-08 16:00:00,0.0
KM BINAIYA,BONTANG,2025-04-08 14:00:00,2025-04-08 14:00:00,2025-04-08 17:00:00,0.0
KM LEUSER,SAMPIT,2025-04-08 15:00:00,2025-04-08 15:00:00,2025-04-09 12:00:00,0.0
KM BK SIGUNTANG,NUNUKAN,2025-04-08 15:00:00,2025-04-08 15:00:00,2025-04-08 18:00:00,0.0
KM SANGIANG,BANDA,2025-04-08 17:00:00,2025-04-08 17:00:00,2025-04-08 19:00:00,0.0
KM SIRIMAU,KUPANG,2025-04-08 17:00:00,2025-04-08 17:00:00,2025-04-09 00:00:00,0.0
KM TILONGKABILA,MAKASSAR,2025-04-08 19:00:00,2025-04-08 19:00:00,2025-04-09 00:00:00,0.0
KM LABOBAR,SORONG,2025-04-08 19:00:00,2025-04-08 21:00:00,2025-04-09 00:00:00,0.0
KM TIDAR,SURABAYA,2025-04-08 20:00:00,2025-04-08 20:00:00,2025-04-08 22:00:00,0.0
KM JETLINER,KENDARI,2025-04-08 21:00:00,2025-04-08 21:00:00,2025-04-08 23:00:00,0.0
KM BK RAYA,KIJANG,2025-04-08 23:00:00,2025-04-08 23:00:00,2025-04-09 02:00:00,0.0
KM DOBONSOLO,SURABAYA,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-09 04:00:00,0.0
KM DOROLONDA,PANTOLOAN,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-09 04:00:00,0.0
KM EGON,BONTANG,2025-04-09 02:00:00,2025-04-09 02:00:00,2025-04-09 05:00:00,0.0
KM TATAMAILAU,MERAUKE,2025-04-09 02:00:00,2025-04-09 02:00:00,2025-04-09 23:00:00,0.0
KM LAWIT,SURABAYA,2025-04-09 04:00:00,2025-04-09 04:00:00,2025-04-09 08:00:00,0.0
KM JETLINER,RAHA,2025-04-09 07:00:00,2025-04-09 07:00:00,2025-04-09 08:00:00,0.0
KM AWU,SURABAYA,2025-04-09 09:00:00,2025-04-09 09:00:00,2025-04-09 15:00:00,0.0
KM LABOBAR,FAK-FAK,2025-04-09 11:00:00,2025-04-09 11:00:00,2025-04-09 13:00:00,0.0
KM NGGAPULU,BAU-BAU,2025-04-09 13:00:00,2025-04-09 13:00:00,2025-04-09 15:00:00,0.0
KM SANGIANG,AMBON,2025-04-09 13:00:00,2025-04-09 13:00:00,2025-04-10 00:00:00,0.0
KM WILIS,MAKASSAR,2025-04-09 14:00:00,2025-04-09 14:00:00,2025-04-09 22:00:00,0.0
KM SINABUNG,BAU-BAU,2025-04-09 15:00:00,2025-04-09 15:00:00,2025-04-09 18:00:00,0.0
KM KELUD,BELAWAN,2025-04-09 15:00:00,2025-04-09 15:00:00,2025-04-10 10:00:00,0.0
KM SIRIMAU,KALABAHI,2025-04-09 15:00:00,2025-04-09 15:00:00,2025-04-09 17:00:00,0.0
KM LAMBELU,TARAKAN,2025-04-09 15:00:00,2025-04-09 15:00:00,2025-04-09 18:00:00,0.0
KM BK RAYA,LETUNG,2025-04-09 16:00:00,2025-04-09 16:00:00,2025-04-09 18:00:00,0.0
KM CIREMAI,SURABAYA,2025-04-09 16:00:00,2025-04-09 16:00:00,2025-04-09 20:00:00,0.0
KM JETLINER,KENDARI,2025-04-09 16:00:00,2025-04-09 16:00:00,2025-04-09 18:00:00,0.0
KM TILONGKABILA,BIMA,2025-04-09 20:00:00,2025-04-09 20:00:00,2025-04-09 23:00:00,0.0
KM BINAIYA,AWERANGE,2025-04-09 20:00:00,2025-04-09 20:00:00,2025-04-09 22:00:00,0.0
KM PANGRANGO,BANDA,2025-04-09 20:00:00,2025-04-09 20:00:00,2025-04-09 22:00:00,0.0
KM BK SIGUNTANG,BALIKPAPAN,2025-04-09 21:00:00,2025-04-09 21:00:00,2025-04-09 23:00:00,0.0
KM GUNUNG DEMPO,SORONG,2025-04-09 22:00:00,2025-04-09 22:00:00,2025-04-10 02:00:00,0.0
KM BK RAYA,TAREMPA,2025-04-09 23:00:00,2025-04-09 23:00:00,2025-04-10 01:00:00,0.0
KM LAMBELU,NUNUKAN,2025-04-10 00:00:00,2025-04-10 00:00:00,2025-04-10 03:00:00,0.0
KM LABOBAR,KAIMANA,2025-04-10 00:00:00,2025-04-10 00:00:00,2025-04-10 05:00:00,0.0
KM KELIMUTU,PONTIANAK,2025-04-10 02:00:00,2025-04-10 02:00:00,2025-04-10 05:00:00,0.0
KM BINAIYA,MAKASSAR,2025-04-10 04:00:00,2025-04-10 04:00:00,2025-04-10 09:00:00,0.0
KM TIDAR,TANJUNG PRIOK,2025-04-10 04:00:00,2025-04-10 04:00:00,2025-04-10 06:00:00,0.0
KM TILONGKABILA,LABUAN BAJO,2025-04-10 06:00:00,2025-04-10 06:00:00,2025-04-10 08:00:00,0.0
KM EGON,PARE-PARE,2025-04-10 06:00:00,2025-04-10 06:00:00,2025-04-10 09:00:00,0.0
KM JETLINER,WANCI,2025-04-10 07:00:00,2025-04-10 07:00:00,2025-04-10 09:00:00,0.0
KM NGGAPULU,MAKASSAR,2025-04-10 07:00:00,2025-04-10 09:00:00,2025-04-10 12:00:00,2.0
KM DOROLONDA,BITUNG,2025-04-10 09:00:00,2025-04-10 09:00:00,2025-04-10 13:00:00,0.0
KM LABOBAR,DOBO,2025-04-10 11:00:00,2025-04-10 11:00:00,2025-04-10 15:00:00,0.0
KM SINABUNG,MAKASSAR,2025-04-10 11:00:00,2025-04-10 12:00:00,2025-04-10 14:00:00,1.0
KM SANGIANG,NAMLEA,2025-04-10 11:00:00,2025-04-10 11:00:00,2025-04-10 16:00:00,0.0
KM PANGRANGO,AMBON,2025-04-10 12:00:00,2025-04-10 12:00:00,2025-04-11 17:00:00,0.0
KM PANGRANGO,AMBON,2025-04-10 12:00:00,2025-04-11 17:00:00,2025-04-11 17:00:00,0.0
KM BK RAYA,NATUNA,2025-04-10 13:00:00,2025-04-10 13:00:00,2025-04-10 16:00:00,0.0
KM BK SIGUNTANG,PARE-PARE,2025-04-10 14:00:00,2025-04-10 14:00:00,2025-04-10 18:00:00,0.0
KM GUNUNG DEMPO,MANOKWARI,2025-04-10 14:00:00,2025-04-10 14:00:00,2025-04-10 17:00:00,0.0
KM DOBONSOLO,BALIKPAPAN,2025-04-10 15:00:00,2025-04-10 15:00:00,2025-04-10 20:00:00,0.0
KM LAWIT,SAMPIT,2025-04-10 17:00:00,2025-04-10 17:00:00,2025-04-11 13:00:00,0.0
KM AWU,BENOA,2025-04-10 18:00:00,2025-04-10 18:00:00,2025-04-10 21:00:00,0.0
KM LEUSER,SEMARANG,2025-04-10 19:00:00,2025-04-10 19:00:00,2025-04-11 00:00:00,0.0
KM BK RAYA,MIDAI,2025-04-10 20:00:00,2025-04-10 20:00:00,2025-04-10 22:00:00,0.0
KM LABOBAR,TUAL,2025-04-10 20:00:00,2025-04-10 20:00:00,2025-04-11 03:00:00,0.0
KM JETLINER,KENDARI,2025-04-10 22:00:00,2025-04-10 22:00:00,2025-04-11 17:00:00,0.0
KM DOROLONDA,TERNATE,2025-04-10 22:00:00,2025-04-10 22:00:00,2025-04-11 00:00:00,0.0
KM WILIS,LABUAN BAJO,2025-04-10 22:00:00,2025-04-10 22:00:00,2025-04-11 00:00:00,0.0
KM BK SIGUNTANG,MAKASSAR,2025-04-10 23:00:00,2025-04-10 23:00:00,2025-04-11 02:00:00,0.0
